Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
6 U.S.C. § 725,Post-Katrina Emergency Management Reform Act (PKEMRA),"The Post-Katrina Emergency Management Reform Act (PKEMRA) was enacted in 2006 improves the federal government’s disaster preparedness and response capabilities  in the United States. Main actors include the Federal Emergency Management Agency (FEMA), state and local governments, and the Department of Homeland Security. It is triggered by major disasters and emergencies, and enables actions such as enhanced coordination, resource allocation, and response efforts.",Post Katrina Emergency Management Reform Act,"Federal Emergency Management Agency,Department of Homeland Security","Natural Disaster,Health Emergency,No triggering event - Capacity Building","""develop a Federal response capability that, when
necessary and appropriate, can act effectively and rapidly
to deliver assistance essential to saving lives or protecting
or preserving property or public health and safety in a
natural disaster, act of terrorism, or other man-made disaster""",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,FEMA DOLR,2,10/4/2006,,Post_Katrina_Emergency_Management_Reform_Act_pdf.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/ddZ54tmWdenX40xl7Cs4Ww/eXQj0ahf1scjdci-D4e2f_-qGkXpgH_eWESbczj-n0A0WskIbL_P8lyqVvzE65V-9vQZHuCt_eu0x32uws6-marK0UzXOHis65m8ihCdHwRSlSYwxHT-cgizy2tMui12sTVSyi3ptAPnS11msyeXK0JGAI2QXhSl5KbxCgrj2VOl_LR52rLAzamJHGLuI8l0gstjmtbP_KYWt96Gawln9A/qGVkXDny4cxE4hOb5TtYN5OWuNPvpCTH9175bn7GYSE),,https://www.doi.gov/sites/doi.gov/files/uploads/Post_Katrina_Emergency_Management_Reform_Act_pdf.pdf,,,,,,
,The United States Constituion,"The US Constitution was drafted in 1787 during the Constitutional Convention in Philadelphia, to replace the Articles of Confederation. The main actors were comprised of delegates from the original 13 colonies. The overarching goal was to establish a stronger federal government  and unify the states under a common legal framework. ",US Constiution,"Congress,Supreme Court of the United States,Executive Office of the President of the United States",No triggering event - Capacity Building,"N/A
",No,Domestic,Yes,Constitution,Include,FEMA DOLR,2,6/21/1788,5/22/1992,constitution.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/Upy0VrqnTe1KC113OJekpw/Yxy_UtLUaG9_eI1oTDhmryC5PmegES2OEl4r9vrEPkOxqrXa_KP-mw9izXX-gfa0uTvY9GxF8-_iPlFy4Pwr55IgdXMuqoR8vkY_tQ_uwNJw7ciG0Caur1Bc_JdMlZdCHDDFSgmSXzwmP2knUs1_4l3h0RLtZNXo2lr8IFk9XEQ/Z4_svm7nOaUSEa0Mnc5w1HNneVb6iWm5N9t7wZbbeeU),"Not technically a law, but specific sections are explicitly mentioned
",https://constitutioncenter.org/media/files/constitution.pdf,,,,,,
31 U.S.C. § 1301(a);,US Code Title 31,"US Code Title 31, enacted in 1874, outlines the role of the money and finance in the United States Code. The main actors include Congress, federal agencies, and the Treasury Department, who collectively oversee budgetary processes, financial management, and the regulation of government expenditures. The code is intended to ensure transparency, accountability, and sound financial management within the federal government.",US Code Title 31,Department of the Treasury,No triggering event - Capacity Building,N/A,No,Domestic,No,Legislation,Include,FEMA DOLR,2,9/13/1982,,USCODE-2011-title31.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/3NJIm0DO3i1g69Wi1uIfmQ/-B5F-pMHrdeff1zXaNOjzIbDbdvp3rEiJnhn1KssuHdcrhAZN-s2SRVIBAO5Q2IoWSgFYEuCjJYOkr63xGiDSiDXAxiqrJ05zgbUae_A4XQDxGDp-bQRtUCjupARqIJA4aJR7EoQFbIeauqnNpNp6CjzhSpwc_6Y2ujPFh-4HNo/iN96VH_mY3RAtqqEYzNJoOoXU9v1KNd9A-G4bzPXER0),"US code is updated every 6 years, unclear when this specific law was last modified; DOLR references 31 U.S.C. § 1301(a);

1341; 1342;1517",https://www.govinfo.gov/content/pkg/USCODE-2011-title31/pdf/USCODE-2011-title31.pdf,,,,,,
44 CFR,Title 44 of Code of Federal Regulations,"Title 44 of the CFR governs federal records management and information policy. Title 44 was implemented to ensure standardized practices in alignment with the Paperwork Reduction Act of 1980. The primary actors include federal agencies, the National Archives and Records Administration (NARA), and the Office of Management and Budget (OMB). These agencies ensure efficient government operations, preservation of historical records, and compliance with Federal transparency requirements.",Title 44 of CFR,"Federal Emergency Management Agency,Department of Commerce,Department of Transportation",No triggering event - Capacity Building,"N/A
",No,Domestic,No,Regulation,Include,FEMA DOLR,2,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/IprvUSZgPlJXhjRzRzL1HA/FdM_lgBSeKZ11KoSS6B0xC8oeP41xtTXF1vBxfeiowfYcUcdIlrWu5yVdmoMQK9vcfphQoooWU8mzmgHdIHX-Z9jdUdejSWMbzbWZ8NqrwiHgFQGc1carXm4_u8-8CXvcAtOhlvAeUj9pLQx7kFNeJ8pxaF1fGKfIsF5jrfM25l5TR7AAh_Wl3ZY8FOd9_uE/9pyMmyXxrpF4n37w622LlYO0en3O0oiPNJD1eLFwToM),No specific enactment date,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,,,,,,
15 U.S.C Chapter 49,The National Fire Prevention and Control Act,,The National Fire Prevention and Control Act,"Federal Emergency Management Agency - United States Fire Administration,Federal Emergency Management Agency",,,,,,Legislation,Exclude,FEMA DOLR,2,10/29/1974,,Fire Act.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/MR6Fn3W2EbtcvxmIzLCadA/BbP2w4bsGsfZACBa8eQ2FiV7Jw9MqE6VcAfuiYk7ZoBpb8VmatKQPK3n2ifwMZP-wzBfc8UYiZldRwa7ayetjN2u5QwRyy4qrYXaLk5ZFvr8j1IA7E9hqB-m1_2lcc8Gk9QSZ-OAgPuF5wwWffDbv5E9MUt1nNh2qYVxx6CS54o/KCoHOx1iPPT1XBqsQh4Zmip9DNImIxo3PFOwUeC5v4s),,https://uscode.house.gov/view.xhtml?path=/prelim@title15/chapter49&edition=prelim ,,,,,,
42 U.S.C. 4001 et seq,The National Flood Insurance Act,,The National Flood Insurance Act,"Congress,Federal Emergency Management Agency - National Flood Insurance Program",,,,,,Legislation,Exclude,FEMA DOLR,2,8/1/1968,,national-flood-insurance-act-1968.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/Y8CDufXYhKlRZbR0UNsNhA/5H3It0Qq5aJzBWF3YqXmh9j4e80gb7sPdyKt7G6FC7HcwP9ITs-ZLABdwOrjwYoB6s2BUyK5rqqHNsl8rqIG_khekOTP-gLvE06pkcRjR4nR6bxKrjMzMmQxbb41mihS0m2b3u10T_snUEo-V-BuHPdF8IzeTeUnhdU0XrtZHOIN-3G1Wvy5o3ahV0EwV_Ov/d0MF9DmWtUW6qK-Ji47EzkLgJ-P_zg6pOPrjCmwMuqw),,https://www.fema.gov/sites/default/files/2020-07/national-flood-insurance-act-1968.pdf,,,,,,
"42 U.S.C. §§ 7701, et seq",Earthquake Hazards Reduction Act of 1977,,Earthquake Hazards Reduction Act of 1977,"National Earthquake Hazards Reduction Program,Federal Emergency Management Agency,Department of the Interior - U.S. Geological Survey,National Science Foundation",,,,,,Legislation,Exclude,FEMA DOLR,2,10/7/1977,12/27/2022,COMPS-1843.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/u3OoGxuQwX3bC-IfbU-BBA/glVrWA5JEAxkFZIMqUKzpV-xJo0Ymb8B-Ord4TzrqVFT3SLtAvar--vUjNKJkPRxT6eMHTpBjbvmkeG9I2XEy11tdcDExC0GAUDQZPjNWLJt3lptR13R4ZAoXHjDtWdNowdoB25SabhWcQNzJalOETybKIBNO41aeSHqF3gCKHk/kZyAFLMet2H3j0ubivFC2ohAl99D1ZFehbG9JqqxD9E),,https://www.govinfo.gov/content/pkg/COMPS-1843/pdf/COMPS-1843.pdf,,,,,,
50 U.S.C. § 4501 et seq,Defense Production Act of 1950,"The Defense Production Act (DPA) authorizes the President to direct private industries to prioritize and expedite the production of materials and goods essential for national defense. It was triggered by the Korean War (1950) and can be activated during various emergencies. The main stakeholders include the President, federal agencies, and private industry.",Defense Production Act of 1950,Executive Office of the President of the United States,"Act of War,Health Emergency,Natural Disaster,No triggering event - Capacity Building","""In support of national defense, HHS leverages Defense Production Act (DPA) authorities to build a robust and resilient public health supply chain capable of responding to emergency public health threats. These authorities can be used across the federal government to ensure that the domestic industrial base can provide essential materials and goods necessary and appropriate for the national defense."" (https://aspr.hhs.gov/legal/DPA/Pages/default.aspx)",No,Domestic,No,Legislation,Include,FEMA DOLR,2,9/8/1950,8/13/2018,Defense_Production_Act_2018.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/uc-FPKl6hYdytp1XwDg4uw/2-ursrNfIFgKjFuBSwMBl8vXfZZqmnWUrs8hePjIZd18gKUSphDEf-shy5Hj6b8qNRmLyZAS7OYbRV95q_jdkfpqOeZRSesomA6ETePXn5g230srJJyxcXqZlnF48_YC69Dlru6ncPBfyPfDkHeFow3Mb0zh3nQT5E05yk8XSYIKS0tpeuejoEiZcd_NrqqQ/-LFRE7h8T13djGbfM8hTSx9UDN6NP8tka30VoDQaaa4),,https://www.fema.gov/sites/default/files/2020-03/Defense_Production_Act_2018.pdf,,,,,,
"50 U.S.C. §§ 403, 405.",National Security Act of 1947,"The National Security Act of 1947 created a framework, framework for coordinating U.S. national security, through the creation of institutions such as the National Security Council (NSC) and the agencies such as the Central Intelligence Agency (CIA). The act was fueled by the need for a stronger, coordinated national defense strategy post WWII. The main stakeholders include the President, the NSC, and intelligence agencies. Under the NSA actions strategic planning and intelligence coordination to address threats to national security. ",National Security Act of 1947,"Central Intelligence Agency,Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,National Security Resources Board,Executive Office of the President of the United States - National Security Council",No triggering event - Capacity Building,"N/A
",No,Domestic,Unclear,Legislation,Include,FEMA DOLR,2,7/26/1947,11/25/2002,1947-07-26.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/qShk0ywqRqlb7-aV7utTgw/wHl3pMvjPCjczHeQn25OOPylDflScl4wDcCxeN64W7wwdlao1Bi4otEYfk4IXjkzsBrZohQKUI7_5ibRmvoZj1l5S3wsK5I6W0cRLVU-7qfKhDCr0jcKmNRBHdp03y6xJFj972HKEtFOZBRV5VnyRxL6Bnx7-JwO4rc5HX6gWyU/G_BmiQPMrCj--6D9_1maRNA0kRhRvNP4aIX_UllOofc),*unclear how the military is involved in relation to Posse Commitatus,https://www.cia.gov/readingroom/docs/1947-07-26.pdf,,,,,,
"42 U.S.C. §§ 4001, et seq",The Biggert-Waters Flood Insurance Reform Act of 2012,,The Biggert-Waters Flood Insurance Reform Act of 2012,Federal Emergency Management Agency - National Flood Insurance Program,,,,,,Legislation,Exclude,FEMA DOLR,2,7/6/2012,,PLAW-112publ141.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/jrIYy_9YfRATXvfGxuityQ/jX6Q6dAjjVD4kI7AgqcmYAU_friAd3EaOAp6APoml_PFU28oF2Dlwa6U5srDxdaA8KWPZq6Mmm8tW_ZVaGQNktc9KsWGgzyuPCJH-qlvFA4aSkDuVKsebAcWSnBacEX6PSMKt05GIn-j_32gM8-cSIwPqoPYeWeQ-8GlaW5-fGI/qL6sjiL9-Q9Z7Feb-s4Vu4P-aHxvVqWfNUedjEoY_oA),,https://www.fema.gov/flood-insurance/rules-legislation/laws,,,,,,
"33 U.S.C. 467d, 467f and 467j",National Dam Safety Program Act,,National Dam Safety Program Act,Department of Defense - Department of the Army,,,,,,Legislation,Exclude,FEMA DOLR,2,12/22/2006,,PLAW-109publ460.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/BcFneEFu6uf-2wzPmYcauQ/x3AdIyGd31JShNsQUqhOGXonJI807zoOJ3ZL0ENMqmbg-yL3Cm6ImYbxyO67LiJ4Ch3Xmij7Ms4gsNFIorkFdoknZKJ2__jiQoRZ-fCEi6axBxFnuO7Z9-B-zH4GSgKuZInkFiJd9QxePo7GbBsCUlNmY7sQNYs2InaPC3MGUX0/GrcFaBYAJl-0uyqRerc7UQE1CtBCiapHm63_0t_k_t0),,https://www.govinfo.gov/app/details/PLAW-109publ460/,,,,,,
36 U.S.C. § 143,McKinney-Vento Homeless Assistance Act,,McKinney-Vento Homeless Assistance Act,,,,,,,Legislation,Exclude,FEMA DOLR,2,10/30/2002,,PLAW-106publ400.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/cY5v8RaNyIrC-uuwCw6dPg/HcYG2KE7lu7C5AcOCzxctEE0o-exYsJAVWYzwohg4KV1hk2BZvgPwUWcpLfnjKVVTYRWs1NXaGI-Of2lC2iwM0DNv8eJykmCU6tuWK3FoHFoVWL4Zh0LtKFERiChh-7em6UtF3-49SRYa5DiOOUis2xFF3cdH9fo3dgQfaAFslA/87cbl4UeoRuVLt4c-QyG73wv7yT3TirKvpbWUID-rSU),"Bill to rename former law, no specific legislative action to empower a specific agency",https://www.govinfo.gov/app/details/PLAW-106publ400,,,,,,
"44 C.F.R § 201, 204, 206",Emergency Management and Assistance,"This document relays the policies for emergency management in the US. The major players are FEMA and the local, state, and federal management agencies.",Title 44 of CFR,Federal Emergency Management Agency,"Natural Disaster,Health Emergency,Act of War,No triggering event - Capacity Building",An infectious disease outbreak or bioterrorism can prompt assistance through this regulation.,Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,FEMA DOLR,3,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/IprvUSZgPlJXhjRzRzL1HA/FdM_lgBSeKZ11KoSS6B0xC8oeP41xtTXF1vBxfeiowfYcUcdIlrWu5yVdmoMQK9vcfphQoooWU8mzmgHdIHX-Z9jdUdejSWMbzbWZ8NqrwiHgFQGc1carXm4_u8-8CXvcAtOhlvAeUj9pLQx7kFNeJ8pxaF1fGKfIsF5jrfM25l5TR7AAh_Wl3ZY8FOd9_uE/9pyMmyXxrpF4n37w622LlYO0en3O0oiPNJD1eLFwToM),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,,,,,,
