Citation,Entity Empowered,Triggering Event,Location
10 U.S.C. § 688,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 690,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","Act of War,NEA Emergency Declaration,Declaration of War",Domestic
10 U.S.C. § 708,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","Act of War,NEA Emergency Declaration,Declaration of War",Domestic
10 U.S.C. § 712,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",International
10 U.S.C. § 857,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 1060c,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Domestic
10 U.S.C. § 1076a,"Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 1491,"Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 2208,"Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 2350j,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 1580,"Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 2461,"Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 2632,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 2662,"Department of Defense,POTUS or Executive Office of the President of the United States,General Services Administration","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 2808,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 7014,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Domestic
10 U.S.C. § 7375,"Department of Labor,Department of Defense - Department of the Army,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Domestic
10 U.S.C. § 8014,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 8102,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 8385,"Department of Defense - Department of the Army,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 8624,"Department of Defense - Department of the Navy,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 9014,"Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 9375,"Department of Labor,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States",NEA Emergency Declaration,Domestic
10 U.S.C. § 12006,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 12302,"Department of Defense - Department of the Army,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Both
10 U.S.C. § 12311,"Department of Defense - Department of the Army,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Both
16 U.S.C. § 440,Department of Defense - Department of the Army,"NEA Emergency Declaration,Act of War,Declaration of War",Domestic
31 U.S.C. § 3522,Department of Defense - Department of the Army,"NEA Emergency Declaration,Act of War,Declaration of War",Both
33 U.S.C. § 2293,Department of Defense - Department of the Army,"NEA Emergency Declaration,Act of War,Declaration of War,Health Emergency",Both
33 U.S.C. § 3061,"Department of Commerce - National Oceanic and Atmospheric Administration,Department of Defense - Department of the Navy,POTUS or Executive Office of the President of the United States","Natural Disaster,Act of War,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Both
35 U.S.C. § 181,"Department of Defense,Department of Commerce - Patent and Trademark Office","Act of War,Declaration of War",Both
37 U.S.C. § 1009,"Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Undefined
38 U.S.C. § 8111A,"Department of Defense - Department of the Army,Department of Veterans Affairs","Act of War,Declaration of War,Presidential Major Disaster Declaration,Natural Disaster",Domestic
40 U.S.C. § 8722,Department of Defense,"NEA Emergency Declaration,Act of War,Declaration of War",Domestic
42 U.S.C. § 204a,"Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,PHSA Emergency Declaration,Presidential Major Disaster Declaration",Both
43 U.S.C. § 155,Department of Defense,"NEA Emergency Declaration,Declaration of War,Act of War",Domestic
43 U.S.C. § 1341,"Department of Defense,Department of the Interior","NEA Emergency Declaration,Declaration of War,Act of War",Both
50 U.S.C. § 98f,"Department of Defense,POTUS or Executive Office of the President of the United States",NEA Emergency Declaration,Domestic
50 U.S.C. § 1435,"Department of Defense,POTUS or Executive Office of the President of the United States",NEA Emergency Declaration,Domestic
50 U.S.C. § 4531,"Department of Defense,POTUS or Executive Office of the President of the United States",NEA Emergency Declaration,Both
50 U.S.C. § 4532,"Department of Defense,POTUS or Executive Office of the President of the United States",NEA Emergency Declaration,Domestic
50 U.S.C. § 4533,"Department of Defense,POTUS or Executive Office of the President of the United States",NEA Emergency Declaration,Domestic
"50 U.S.C. §§ 403, 405.","Central Intelligence Agency,Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,National Security Resources Board,Executive Office of the President of the United States - National Security Council",No triggering event - Capacity Building,Both
42 U.S. Code § 300d–91,"Department of Health and Human Services,Department of Defense",No triggering event - Capacity Building,Domestic
42 U.S. Code § 300hh–11,"Department of Health and Human Services,Department of Homeland Security,Department of Defense,Department of Veterans Affairs",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247d–6,"Department of Health and Human Services,Department of Defense",No triggering event - Capacity Building,Domestic
42 U.S.C. § 300d-91,Department of Defense,"PHSA Emergency Declaration,Natural Disaster,Act of War,Terrorism,Declaration of War,Health Emergency",Domestic
10 U.S.C. § 12302,Department of Defense,NEA Emergency Declaration,Both
10 U.S.C. § 10102,Department of Defense,No triggering event - Capacity Building,Both
42 U.S.C. §1570b(c),"Department of Defense,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
15 C.F.R. §§ 700.1–700.93,"Department of Defense,Department of Commerce","Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic
10 U.S.C. § 162 and 164 §§ 101(c); 331-335; 12301-12304; and 12406.,"Department of Defense,Department of Defense - Department of the Army","Act of War,No triggering event - Capacity Building,Terrorism,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration",Both
"32 U.S.C 325, 502, 901-904","Department of Defense,Department of Defense - Department of the Army,Department of Homeland Security,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration,No triggering event - Capacity Building",Domestic
18 U.S.C. §1385 ,"Department of Defense,Department of Defense - Department of the Army","Act of War,No triggering event - Capacity Building,Presidential Emergency Declarations",Domestic
