Citation,Entity Empowered,Triggering Event,Location
44 C.F.R. § 206.48(b) ,Federal Emergency Management Agency,"Health Emergency,Natural Disaster,Terrorism,Act of War,Potential Public Health Emergency",Domestic
44 C.F.R Part 207,Federal Emergency Management Agency,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
44 C.F.R. § 208 ,"Federal Emergency Management Agency,Department of Homeland Security","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
6 U.S.C. § 725,"Federal Emergency Management Agency,Department of Homeland Security","Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic
44 C.F.R. §§ 206.200 – 206.253,Federal Emergency Management Agency,Presidential Major Disaster Declaration,Domestic
42 U.S.C. § 5122,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Natural Disaster,Health Emergency,Act of War,Terrorism",Domestic
42 U.SC. § 5131(a),"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",No triggering event - Capacity Building,Domestic
42 U.S.C. § 1531(b)-(d),"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,Domestic
42 U.S.C. § 5134,"Federal Emergency Management Agency,Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,Domestic
42 U.S.C. § 5141,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42 U.S.C. § 5143(a)-(b),"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42 U.S.C. § 5143 (c)-(d),"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic
42 U.S.C. § 5144,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic
42. U.S.C. § 5149,"Federal Emergency Management Agency,Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 U.S.C. §  5150,"Broadly applies to any relevant federal agency,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 U.S.C. § 5151,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 U.S.C. § 5156,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",No triggering event - Capacity Building,Domestic
42 U.S.C. § 5162,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 U.S.C. §  5163,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration,No triggering event - Capacity Building",Domestic
42 U.S.C. § 5165,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,Domestic
42 U.S.C. § 5165b,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration,No triggering event - Capacity Building",Domestic
42 U.S.C. § 5165d,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,Domestic
42 U.S.C. § 5165f,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 U.S.C. § 5170a(1),"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42 U.S.C. § 5170(a),"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Natural Disaster,Health Emergency,Act of War,Terrorism",Domestic
42 U.S.C. § 5170(b)-(c),"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Natural Disaster,Health Emergency,Act of War,Terrorism",Domestic
42 U.S.C. § 5170a(2),"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42 U.S.C. § 5170a(3),"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42 U.S.C. §1570a(4),"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42 U.S.C. § 1570a(6),"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42 U.S.C. §1570b(c),"Department of Defense,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42 U.S.C. § 5174(e)(1),"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42 U.S.C. § 5191(a) ,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Natural Disaster,Health Emergency,Terrorism,Act of War",Domestic
42 U.S.C. §5191(b) ,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Natural Disaster,Health Emergency,Terrorism,Act of War",Domestic
42 U.S.C. § 5191(c) ,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Natural Disaster,Health Emergency,Terrorism,Act of War",Domestic
42 U.S.C. § 5192,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Emergency Declarations,Domestic
44 C.F.R. §§80.1–80.21,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
44 C.F.R. §§201.1–201.7,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
42 U.S.C. 5197h,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
44 C.F.R. §§ 206.1 - 206.17,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
44 C.F.R. §§ 206.31–206.47,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Natural Disaster,Health Emergency,Act of War,Terrorism",Domestic
44 C.F.R. §§ 207.1–207.10,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,No triggering event - Capacity Building",Domestic
44 C.F.R. §§ 208.13–208.66,"Department of Homeland Security,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
44 C.F.R. §§ 300.1–300.3,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
13 C.F.R. 302.1–302.20,Federal Emergency Management Agency,Receipt of federal funding,Domestic
42 U.S.C. § 5147,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42 U.S.C. § 5153,"Broadly applies to any relevant federal agency,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42 U.S.C. § 5155,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 U.S.C. § 5158,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42 U.S.C. § 5164,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,Domestic
42 U.S.C. § 5193,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",Presidential Emergency Declarations,Domestic
42 U.S.C. § 5196,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,Domestic
42 U.S.C. § 5196a,"Federal Emergency Management Agency,Department of State",No triggering event - Capacity Building,Domestic
42 U.S.C. § 5196b,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
42 U.S.C. § 5196c,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
42 U.S.C. § 5196d,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
42 U.S.C. § 5196e,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
42 U.S.C. § 5196f,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
42 U.S.C. § 5197,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
42 U.S.C. § 5197b,Federal Emergency Management Agency,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 U.S.C. § 5197e,Federal Emergency Management Agency,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 U.S.C. § 5204-5204b,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",Presidential Major Disaster Declaration,Domestic
42 U.S.C. § 5206,Federal Emergency Management Agency,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
44 C.F.R. §§ 206.61–206.67,Federal Emergency Management Agency,Presidential Emergency Declarations,Domestic
44 C.F.R. §§ 206.200–206.209,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
44 C.F.R. §§ 206.363–206.377,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
44 C.F.R. §§ 206.400–206.402,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
44 C.F.R. §§ 206.430–206.440,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
44 C.F.R. § 323 - Appendix 1,"Federal Emergency Management Agency,Broadly applies to any relevant federal agency",No triggering event - Capacity Building,Domestic
42 U.S.C. § 1533,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","No triggering event - Capacity Building,Presidential Major Disaster Declaration",Domestic
42 U.S.C. § 5152,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 U.S.C. § 1570b(a),"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
44 C.F.R. §§ 206.31 – 206.67,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Natural Disaster,Health Emergency",Domestic
42 U.S.C. § 5170b,Federal Emergency Management Agency,Presidential Major Disaster Declaration,Domestic
"32 U.S.C 325, 502, 901-904","Department of Defense,Department of Defense - Department of the Army,Department of Homeland Security,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration,No triggering event - Capacity Building",Domestic
