Citation,Entity Empowered,Triggering Event,Location
42 U.S.C. § 300ff-83,Department of Health and Human Services,"NEA Emergency Declaration,Presidential Major Disaster Declaration,Presidential Emergency Declarations",Both
42 U.S.C. § 1320b-5,Department of Health and Human Services,"NEA Emergency Declaration,PHSA Emergency Declaration,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 U.S.C. 201 et seq.,"Department of Health and Human Services - Centers for Disease Control and Prevention,Administration for Strategic Preparedness and Response,Department of Health and Human Services","PHSA Emergency Declaration,NEA Emergency Declaration",Domestic
42 C.F.R. § 413.75,Department of Health and Human Services,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,PHSA Emergency Declaration",Domestic
21 U.S.C. § 360eee-1,Department of Health and Human Services,"Health Emergency,No triggering event - Capacity Building",Domestic
21 U.S.C. § 356j,Department of Health and Human Services,"Potential Public Health Emergency,PHSA Emergency Declaration",Domestic
21 U.S.C. § 802,"Department of Justice - Drug Enforcement Administration,Department of Health and Human Services",PHSA Emergency Declaration,Domestic
42 U.S.C. § 204a,Department of Health and Human Services,"NEA Emergency Declaration,Presidential Major Disaster Declaration",Domestic
42 U.S.C. § 238m,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 247d-4a,"Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services",PHSA Emergency Declaration,Domestic
42 U.S.C. § 247d-7c,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 300ff-83,Department of Health and Human Services,PHSA Emergency Declaration,Domestic
42 U.S.C. § 300ff-138,Department of Health and Human Services,PHSA Emergency Declaration,Domestic
42 U.S.C. § 1320b-5,Department of Health and Human Services,PHSA Emergency Declaration,Domestic
42 U.S. Code § 247d,Department of Health and Human Services,PHSA Emergency Declaration,Domestic
42 U.S. Code § 247d–1,Department of Health and Human Services,PHSA Emergency Declaration,Domestic
42 U.S. Code § 247d–2,Department of Health and Human Services,"PHSA Emergency Declaration,Potential Public Health Emergency",Domestic
42 U.S. Code § 247d–3a,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247d–3b,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S. Code § 247d–3c ,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services - Centers for Medicare & Medicaid Services,Health Resources and Services Administration,Food and Drug Administration,Department of Health and Human Services - Substance Abuse and Mental Health Services Administration,Department of Labor,Department of Veterans Affairs",PHSA Emergency Declaration,Domestic
42 U.S. Code § 247d–6b,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Homeland Security",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247d–7b,Department of Health and Human Services,PHSA Emergency Declaration,Domestic
42 U.S. Code § 248,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,No triggering event - Capacity Building,Domestic
42 U.S. Code § 248a,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S. Code § 295,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S. Code § 300d–91,"Department of Health and Human Services,Department of Defense",No triggering event - Capacity Building,Domestic
42 U.S. Code § 300u ,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S. Code § 300u–10,"Department of Health and Human Services,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,Domestic
42 U.S. Code § 300hh–1,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S. Code § 300hh–2,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S. Code § 300hh–10-10e,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S. Code § 300hh–11,"Department of Health and Human Services,Department of Homeland Security,Department of Defense,Department of Veterans Affairs",No triggering event - Capacity Building,Domestic
42 U.S. Code § 300hh–14 ,"Department of Health and Human Services,POTUS or Executive Office of the President of the United States","Health Emergency,Terrorism,Presidential Emergency Declarations",Domestic
42 U.S. Code § 300hh–15 ,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 234,Department of Health and Human Services,PHSA Emergency Declaration,Domestic
42 U.S.C. § 236,"Food and Drug Administration,Department of Health and Human Services - National Institutes of Health,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S.C. § 239(b),Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 239I(a),Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 204a,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 204(b)-(d),Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 216,"Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
42 U.S.C. § 231,"Department of Health and Human Services,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General",No triggering event - Capacity Building,Domestic
42 U.S.C. § 235,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S. Code § 242c,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Both
42 U.S. Code § 242l,Department of Health and Human Services,No triggering event - Capacity Building,International
42 U.S. Code § 242u,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S. Code § 242v–1,Department of Health and Human Services,No triggering event - Capacity Building,Both
42 U.S. Code § 242v–2,Department of Health and Human Services,No triggering event - Capacity Building,Both
42 U.S. Code § 242v–3,Department of Health and Human Services,No triggering event - Capacity Building,Both
42 U.S. Code § 243,Department of Health and Human Services,Health Emergency,Domestic
42 U.S. Code § 245,"Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
42 U.S. Code § 246,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247b,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247b–6,"Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247b–21,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247b–23,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247d–4b,"Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services",PHSA Emergency Declaration,Domestic
42 U.S. Code § 247d–6,"Department of Health and Human Services,Department of Defense",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247d–6a,"Department of Health and Human Services,Department of Health and Human Services - National Institutes of Health",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247d–6d,Department of Health and Human Services,PHSA Emergency Declaration,Domestic
42 U.S. Code § 247d–6f,Department of Health and Human Services,PHSA Emergency Declaration,Domestic
42 U.S. Code § 247d–7c,Department of Health and Human Services,PHSA Emergency Declaration,Domestic
42 U.S. Code § 247d–7d,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S. Code § 247d–7e,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S. Code § 247d–7f,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S. Code § 247d–12,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 249,"Department of Health and Human Services,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General",No triggering event - Capacity Building,Domestic
42 U.S.C. §§ 250-250a,"Department of Health and Human Services,Department of Justice",No triggering event - Capacity Building,Domestic
42 U.S.C. § 251,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. §§ 253-253b,"Department of Health and Human Services,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,Both
42 U.S.C. §254a,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 264,"Department of Health and Human Services,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General",Potential Public Health Emergency,Both
42 U.S.C. § 265,"Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,Department of Health and Human Services",Potential Public Health Emergency,Both
42 U.S.C. § 266,"Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,Department of Health and Human Services","Act of War,Declaration of War,Potential Public Health Emergency",Both
42 U.S.C. § 267,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,Potential Public Health Emergency,Domestic
42 U.S.C. § 268,"Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,Department of Homeland Security - Coast Guard,Department of Homeland Security - Customs and Border Protection",No triggering event - Capacity Building,Both
42 U.S.C. §269,"Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,Department of Homeland Security - Customs and Border Protection",No triggering event - Capacity Building,Both
42 U.S.C. § 270,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,Potential Public Health Emergency,Both
42 U.S.C. § 256c,"Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
42 U.S.C. §256b,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 256,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 300 hh,Department of Health and Human Services,PHSA Emergency Declaration,Domestic
42 U.S.C. § 300hh-13,Department of Health and Human Services,No triggering event - Capacity Building,Both
42 U.S.C. § 300hh-16,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 300hh-17,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 300hh-31,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S.C. § 300hh-32,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S.C. § 300hh-33,"Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
42 U.S.C. §§ 300aa-1 - 300aa3,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. §§ 300d-3 - 300d-6,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 300hh-35,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S.C. § 300hh-37,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S.C. §§ 300d-81 - 300d-82,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 2001,"Department of Health and Human Services,Indian Health Service",No triggering event - Capacity Building,Domestic
42 U.S.C. § 2002 ,"Department of Health and Human Services,Indian Health Service",No triggering event - Capacity Building,Domestic
42 U.S.C. § 2004,"Department of Health and Human Services,Indian Health Service",No triggering event - Capacity Building,Domestic
42 U.S.C. § 11705,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 C.F.R. §§ 70.1–70.18,Department of Health and Human Services,"PHSA Emergency Declaration,Health Emergency,Potential Public Health Emergency",Domestic
42 C.F.R. §§ 71.29–71.40,Department of Health and Human Services,"Potential Public Health Emergency,Health Emergency,PHSA Emergency Declaration",Both
42 C.F.R. § 23,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 C.F.R § 5,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 C.F.R. § 10,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 C.F.R. § 12,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 C.F.R. § 51b,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 C.F.R. § 51c ,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 C.F.R. § 56,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 C.F.R. § 136,"Department of Health and Human Services - Public Health Service,Department of Health and Human Services,Indian Health Service,Department of the Interior",No triggering event - Capacity Building,Domestic
42 C.F.R. § 100,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 C.F.R. § 124,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 C.F.R. § 136a,"Department of Health and Human Services - Public Health Service,Department of Health and Human Services,Indian Health Service,Department of the Interior",No triggering event - Capacity Building,Domestic
42 C.F.R. § 110 ,Department of Health and Human Services,PHSA Emergency Declaration,Domestic
42 U.S.C. § 204,Department of Health and Human Services,"No triggering event - Capacity Building,Presidential Emergency Declarations",Domestic
42 U.S.C. § 1302,"Department of Labor,Department of Health and Human Services,Department of the Treasury",No triggering event - Capacity Building,Domestic
42 U.S.C. §1320b–5,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Administration for Strategic Preparedness and Response,Department of Health and Human Services","NEA Emergency Declaration,PHSA Emergency Declaration,Presidential Major Disaster Declaration",Domestic
42 U.S.C. § 1315 ,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
42 C.F.R. § 483,Department of Health and Human Services,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,PHSA Emergency Declaration",Domestic
42 C.F.R. §§ 482–494,Department of Health and Human Services,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,PHSA Emergency Declaration",Domestic
42 U.S.C. § 247d-6b,"Department of Health and Human Services,Administration for Strategic Preparedness and Response,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Homeland Security",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247b,Department of Health and Human Services,Health Emergency,Both
