Citation,Entity Empowered,Triggering Event,Location,Powers Invoked,Specific Agency
Presidential Directive - 2020-17786,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Federal Emergency Management Agency
Presidential Directive - 2020-17784,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Federal Emergency Management Agency
Presidential Directive - 2020-19599,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Federal Emergency Management Agency
Presidential Directive - 2020-08958,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response,Federal-State Coordination",Federal Emergency Management Agency
Presidential Directive 2020-09540,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response,Federal-State Coordination",Federal Emergency Management Agency
Presidential Directive 2020-10437,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response,Federal-State Coordination",Federal Emergency Management Agency
Presidential Directive 2020-11427,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response,Federal-State Coordination",Federal Emergency Management Agency
Presidential Directive 2020-12431,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response,Federal-State Coordination",Federal Emergency Management Agency
Presidential Directive 02-33047,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,General Rules and Regulations,Federal Emergency Management Agency
Presidential Directive 2022-04778,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,"Mission Assignment/Response Coordination,Appropriations - Emergency Response",Federal Emergency Management Agency
Presidential Directive 2020-06476,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Federal Emergency Management Agency
Presidential Directive 2020-06989,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Federal Emergency Management Agency
Presidential Directive 2020-06987,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Federal Emergency Management Agency
Presidential Directive 2020-07453,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Federal Emergency Management Agency
Presidential Directive 2020-07801,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Federal Emergency Management Agency
Presidential Directive 2020-08397,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Federal Emergency Management Agency
42 U.S.C. § 5197(d),"Federal Emergency Management Agency,Department of Homeland Security",Presidential Major Disaster Declaration,Domestic,"Mission Assignment/Response Coordination,Response Leadership",Federal Emergency Management Agency
"42 U.S.C. 3149, 5121, 5122, 5133, 5149, 5152, 5154, 5155, 5165, 5165b, 5170, 5170a, 5170b, 5170c, 5172, 5174, 5187, 5189a, 5189f, 5189g, 5191 and 5205","Federal Emergency Management Agency,Department of Homeland Security,Department of Housing and Urban Development,Environmental Protection Agency",No triggering event - Capacity Building,Domestic,"Financial Assistance to states or Tribal Nations,Appropriations - Emergency Response",Federal Emergency Management Agency
6 U.S.C § 101 et seq. ,"Department of Homeland Security,Federal Emergency Management Agency,Department of Transportation,Department of Health and Human Services",No triggering event - Capacity Building,Domestic,"General Rules and Regulations,Strategies and General Preparedness Efforts",Federal Emergency Management Agency
47 C.F.R. § 11.54,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Both,Communications,Federal Emergency Management Agency
6 U.S.C. § 313,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,Mission Assignment/Response Coordination,Federal Emergency Management Agency
44 C.F.R. §§ 350-354,Federal Emergency Management Agency,No triggering event - Capacity Building,Both,State plan requirement,Federal Emergency Management Agency
44 C.F.R. § 360,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,"Financial Assistance to states or Tribal Nations,Federal-State Coordination",Federal Emergency Management Agency
44 C.F.R. § 333,Federal Emergency Management Agency,No triggering event - Capacity Building,Both,"Provision of Supplies,Provision of Medical Care,Financial Assistance to states or Tribal Nations,Grant Programs or Appropriations (not to states)",Federal Emergency Management Agency
44 C.F.R. § 332,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,"Provision of Supplies,Defense Production Act",Federal Emergency Management Agency
44 C.F.R. § 331,Federal Emergency Management Agency,No triggering event - Capacity Building,Both,"""Troop, Uniformed Service, or National Guard Deployment""",Federal Emergency Management Agency
44 C.F.R. § 302,Federal Emergency Management Agency,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,"Financial Assistance to states or Tribal Nations,Federal-State Coordination",Federal Emergency Management Agency
44 C.F.R. § 300,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,Financial Assistance to states or Tribal Nations,Federal Emergency Management Agency
44 C.F.R. § 304,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,Financial Assistance to states or Tribal Nations,Federal Emergency Management Agency
44 C.F.R. § 312,"Federal Emergency Management Agency,Department of Defense","Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic,"""Troop, Uniformed Service, or National Guard Deployment""",Federal Emergency Management Agency
44 C.F.R. § 321,"Department of Defense,Department of Energy,Federal Emergency Management Agency,Department of Transportation - Maritime Administration",No triggering event - Capacity Building,Both,Military Readiness,Federal Emergency Management Agency
44 C.F.R. § 323,"Federal Emergency Management Agency,Department of Defense","Act of War,Terrorism,Presidential Major Disaster Declaration",Domestic,"""Troop, Uniformed Service, or National Guard Deployment"",Provision of Supplies",Federal Emergency Management Agency
44 C.F.R. § 327,"Federal Emergency Management Agency,Department of Defense",No triggering event - Capacity Building,Domestic,"Provision of Supplies,Military Readiness",Federal Emergency Management Agency
44 C.F.R. § 361,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,Financial Assistance to states or Tribal Nations,Federal Emergency Management Agency
44 C.F.R. Part 204,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,"Federal-State Coordination,Financial Assistance to states or Tribal Nations,Appropriations - Emergency Response",Federal Emergency Management Agency
42 U.S.C. 5170a,"Federal Emergency Management Agency,Department of Homeland Security",Presidential Major Disaster Declaration,Domestic,Mission Assignment/Response Coordination,Federal Emergency Management Agency
44 C.F.R. § 206.48(b) ,Federal Emergency Management Agency,"Health Emergency,Natural Disaster,Terrorism,Act of War,Potential Public Health Emergency",Domestic,Emergency Declaration,Federal Emergency Management Agency
44 C.F.R Part 207,Federal Emergency Management Agency,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,"Financial Assistance to states or Tribal Nations,Federal-State Coordination,Appropriations - Emergency Response",Federal Emergency Management Agency
44 C.F.R. § 208 ,"Federal Emergency Management Agency,Department of Homeland Security","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,Mission Assignment/Response Coordination,Federal Emergency Management Agency
6 U.S.C. § 725,"Federal Emergency Management Agency,Department of Homeland Security","Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic,"Response Leadership,Mission Assignment/Response Coordination",Federal Emergency Management Agency
44 C.F.R. §§ 206.200 – 206.253,Federal Emergency Management Agency,Presidential Major Disaster Declaration,Domestic,"Response Leadership,Infrastructure",Federal Emergency Management Agency
42 U.S.C. § 5122,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Natural Disaster,Health Emergency,Act of War,Terrorism",Domestic,Emergency Declaration,Federal Emergency Management Agency
42 U.SC. § 5131(a),"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",No triggering event - Capacity Building,Domestic,"Research and Development,Strategies and General Preparedness Efforts",Federal Emergency Management Agency
42 U.S.C. § 1531(b)-(d),"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,Domestic,"Financial Assistance to states or Tribal Nations,State plan requirement",Federal Emergency Management Agency
42 U.S.C. § 5134,"Federal Emergency Management Agency,Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,Domestic,Strategies and General Preparedness Efforts,Federal Emergency Management Agency
42 U.S.C. § 5141,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic,Waiver,Federal Emergency Management Agency
42 U.S.C. § 5143(a)-(b),"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic,Mission Assignment/Response Coordination,Federal Emergency Management Agency
42 U.S.C. § 5143 (c)-(d),"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic,Mission Assignment/Response Coordination,Federal Emergency Management Agency
42 U.S.C. § 5144,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic,"Movement of Medical Personnel,""Troop, Uniformed Service, or National Guard Deployment""",Federal Emergency Management Agency
42. U.S.C. § 5149,"Federal Emergency Management Agency,Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,Federal-State Coordination,Federal Emergency Management Agency
42 U.S.C. §  5150,"Broadly applies to any relevant federal agency,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,"Government Contracts,Financial Assistance to states or Tribal Nations",Federal Emergency Management Agency
42 U.S.C. § 5151,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,General Rules and Regulations,Federal Emergency Management Agency
42 U.S.C. § 5156,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",No triggering event - Capacity Building,Domestic,Response Assessment,Federal Emergency Management Agency
42 U.S.C. § 5162,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,Financial Assistance to states or Tribal Nations,Federal Emergency Management Agency
42 U.S.C. §  5163,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration,No triggering event - Capacity Building",Domestic,Financial Assistance to states or Tribal Nations,Federal Emergency Management Agency
42 U.S.C. § 5165,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,Domestic,State plan requirement,Federal Emergency Management Agency
42 U.S.C. § 5165b,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration,No triggering event - Capacity Building",Domestic,Financial Assistance to states or Tribal Nations,Federal Emergency Management Agency
42 U.S.C. § 5165d,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,Domestic,General Rules and Regulations,Federal Emergency Management Agency
42 U.S.C. § 5165f,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,"Federal-State Coordination,Mission Assignment/Response Coordination",Federal Emergency Management Agency
42 U.S.C. § 5170a(1),"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic,Mission Assignment/Response Coordination,Federal Emergency Management Agency
42 U.S.C. § 5170(a),"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Natural Disaster,Health Emergency,Act of War,Terrorism",Domestic,Emergency Declaration,Federal Emergency Management Agency
42 U.S.C. § 5170(b)-(c),"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Natural Disaster,Health Emergency,Act of War,Terrorism",Domestic,Emergency Declaration,Federal Emergency Management Agency
42 U.S.C. § 5170a(2),"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic,"Mission Assignment/Response Coordination,Financial Assistance to states or Tribal Nations,Appropriations - Emergency Response,Provision of Medical Care,Provision of Supplies",Federal Emergency Management Agency
42 U.S.C. § 5170a(3),"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic,"Strategies and General Preparedness Efforts,Federal-State Coordination",Federal Emergency Management Agency
42 U.S.C. §1570a(4),"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic,Provision of Supplies,Federal Emergency Management Agency
42 U.S.C. § 1570a(6),"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic,"Federal-State Coordination,Appropriations - Emergency Response",Federal Emergency Management Agency
42 U.S.C. §1570b(c),"Department of Defense,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic,"Provision of Supplies,""Troop, Uniformed Service, or National Guard Deployment""",Federal Emergency Management Agency
42 U.S.C. § 5174(e)(1),"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic,Financial Assistance to states or Tribal Nations,Federal Emergency Management Agency
42 U.S.C. § 5191(a) ,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Natural Disaster,Health Emergency,Terrorism,Act of War",Domestic,Emergency Declaration,Federal Emergency Management Agency
42 U.S.C. §5191(b) ,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Natural Disaster,Health Emergency,Terrorism,Act of War",Domestic,Emergency Declaration,Federal Emergency Management Agency
42 U.S.C. § 5191(c) ,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Natural Disaster,Health Emergency,Terrorism,Act of War",Domestic,Emergency Declaration,Federal Emergency Management Agency
42 U.S.C. § 5192,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Emergency Declarations,Domestic,"Mission Assignment/Response Coordination,Response Leadership",Federal Emergency Management Agency
44 C.F.R. §§80.1–80.21,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,Government Contracts,Federal Emergency Management Agency
44 C.F.R. §§201.1–201.7,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,Strategies and General Preparedness Efforts,Federal Emergency Management Agency
42 U.S.C. 5197h,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,Research and Development,Federal Emergency Management Agency
44 C.F.R. §§ 206.1 - 206.17,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,"Financial Assistance to states or Tribal Nations,Appropriations - Emergency Response",Federal Emergency Management Agency
44 C.F.R. §§ 206.31–206.47,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Natural Disaster,Health Emergency,Act of War,Terrorism",Domestic,Emergency Declaration,Federal Emergency Management Agency
44 C.F.R. §§ 207.1–207.10,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,No triggering event - Capacity Building",Domestic,"Financial Assistance to states or Tribal Nations,Appropriations - Emergency Response",Federal Emergency Management Agency
44 C.F.R. §§ 208.13–208.66,"Department of Homeland Security,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,Mission Assignment/Response Coordination,Federal Emergency Management Agency
44 C.F.R. §§ 300.1–300.3,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,"Strategies and General Preparedness Efforts,State plan requirement",Federal Emergency Management Agency
13 C.F.R. 302.1–302.20,Federal Emergency Management Agency,Receipt of federal funding,Domestic,Financial Assistance to states or Tribal Nations,Federal Emergency Management Agency
42 U.S.C. § 5147,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic,"Appropriations - Emergency Response,Mission Assignment/Response Coordination",Federal Emergency Management Agency
42 U.S.C. § 5153,"Broadly applies to any relevant federal agency,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic,Appropriations - Emergency Response,Federal Emergency Management Agency
42 U.S.C. § 5155,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,"Appropriations - Emergency Response,Financial Assistance to states or Tribal Nations",Federal Emergency Management Agency
42 U.S.C. § 5158,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic,Provision of Supplies,Federal Emergency Management Agency
42 U.S.C. § 5164,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,Domestic,General Rules and Regulations,Federal Emergency Management Agency
42 U.S.C. § 5193,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",Presidential Emergency Declarations,Domestic,"Appropriations - Emergency Response,Federal-State Coordination",Federal Emergency Management Agency
42 U.S.C. § 5196,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,Domestic,"Strategies and General Preparedness Efforts,State plan requirement,Federal-State Coordination",Federal Emergency Management Agency
42 U.S.C. § 5196a,"Federal Emergency Management Agency,Department of State",No triggering event - Capacity Building,Domestic,"Mission Assignment/Response Coordination,Federal-State Coordination",Federal Emergency Management Agency
42 U.S.C. § 5196b,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,"Financial Assistance to states or Tribal Nations,Strategies and General Preparedness Efforts,State plan requirement,Federal-State Coordination",Federal Emergency Management Agency
42 U.S.C. § 5196c,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,"Government Contracts,Grant Programs or Appropriations (not to states)",Federal Emergency Management Agency
42 U.S.C. § 5196d,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,"Financial Assistance to states or Tribal Nations,State plan requirement",Federal Emergency Management Agency
42 U.S.C. § 5196e,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,"Appropriations - Emergency Response,Financial Assistance to states or Tribal Nations,Grant Programs or Appropriations (not to states)",Federal Emergency Management Agency
42 U.S.C. § 5196f,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,Communications,Federal Emergency Management Agency
42 U.S.C. § 5197,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,Mission Assignment/Response Coordination,Federal Emergency Management Agency
42 U.S.C. § 5197b,Federal Emergency Management Agency,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,General Rules and Regulations,Federal Emergency Management Agency
42 U.S.C. § 5197e,Federal Emergency Management Agency,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,"Appropriations - Emergency Response,Financial Assistance to states or Tribal Nations,Grant Programs or Appropriations (not to states)",Federal Emergency Management Agency
42 U.S.C. § 5204-5204b,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",Presidential Major Disaster Declaration,Domestic,"Mission Assignment/Response Coordination,Appropriations - Emergency Response,Financial Assistance to states or Tribal Nations,Federal-State Coordination",Federal Emergency Management Agency
42 U.S.C. § 5206,Federal Emergency Management Agency,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,"Appropriations - Emergency Response,Government Contracts",Federal Emergency Management Agency
44 C.F.R. §§ 206.61–206.67,Federal Emergency Management Agency,Presidential Emergency Declarations,Domestic,Financial Assistance to states or Tribal Nations,Federal Emergency Management Agency
44 C.F.R. §§ 206.200–206.209,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,Financial Assistance to states or Tribal Nations,Federal Emergency Management Agency
44 C.F.R. §§ 206.363–206.377,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,Financial Assistance to states or Tribal Nations,Federal Emergency Management Agency
44 C.F.R. §§ 206.400–206.402,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,Financial Assistance to states or Tribal Nations,Federal Emergency Management Agency
44 C.F.R. §§ 206.430–206.440,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,Strategies and General Preparedness Efforts,Federal Emergency Management Agency
44 C.F.R. § 323 - Appendix 1,"Federal Emergency Management Agency,Broadly applies to any relevant federal agency",No triggering event - Capacity Building,Domestic,"Health and Safety Regulations,Provision of Supplies",Federal Emergency Management Agency
42 U.S.C. § 1533,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","No triggering event - Capacity Building,Presidential Major Disaster Declaration",Domestic,"State plan requirement,Federal-State Coordination",Federal Emergency Management Agency
42 U.S.C. § 5152,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,"Federal-State Coordination,Mission Assignment/Response Coordination,Provision of Medical Care,Movement of Patients,Movement of Medical Personnel",Federal Emergency Management Agency
42 U.S.C. § 1570b(a),"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic,"Appropriations - Emergency Response,Waiver",Federal Emergency Management Agency
44 C.F.R. §§ 206.31 – 206.67,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Natural Disaster,Health Emergency",Domestic,Emergency Declaration,Federal Emergency Management Agency
42 U.S.C. § 5170b,Federal Emergency Management Agency,Presidential Major Disaster Declaration,Domestic,"Mission Assignment/Response Coordination,General Rules and Regulations",Federal Emergency Management Agency
"32 U.S.C 325, 502, 901-904","Department of Defense,Department of Defense - Department of the Army,Department of Homeland Security,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration,No triggering event - Capacity Building",Domestic,"""Troop, Uniformed Service, or National Guard Deployment""",Federal Emergency Management Agency
