Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,Powers Invoked,State Trigger,Location,Military Involvement (Federal),Document Type,Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations and Statutes: Relevant Chapter, Section or Article",Scenarios Matrix,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Plans & Strategies
Executive Order 12148,,"This EO was created consolidate disaster response under a single entity within the executive agencies. This entity, the Federal Emergency Management Agency (FEMA) was created to improve efficiency and coordination between offices tasked with responding to emergency incidents. Functions previously housed under the Department of Defense, Department of Housing and Urban Development and various other agencies were pulled into FEMA, which was broadly tasked with federal emergency preparedness, mitigation, response and recovery efforts. ",Executive Order 12148,"Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Defense,Department of Commerce,General Services Administration",No triggering event - Capacity Building,"N/A
",Mission Assignment/Response Coordination,When Stafford is trigger,Domestic,Yes - Subject to Posse Comitatus,Executive Order,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Executive Order,,7/20/1979,,eo12148.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/pf5NFlGmkidDrECJxb4ZYg/6qBqr7OGF8rR90Qh6EABt5xmiZ5H8Zw3FBe2XhmElumHVcImBGrw9lFNWxr7GRlH4lcGCUOq1wPrXTSA2TCFjss2rddzvhuSeqbB1qIg98tfvJSfNS8P-mGpteCqSFtFuu9MWcac1UG7YH0fRqRUupxU93WtgWw1QDqfC846xY0/3BLGbzrktdAzl-kUj_v8qahDi9tU0DlXXGtYr47j8Rg),,https://irp.fas.org/agency/dhs/fema/eo12148.pdf,
Executive Order 13911,,"This EO leverages the Defense Production Act and empowers the Secretary of Homeland Security and Health and Human Services Secretaries to more effectively respond to the COVID-19 pandemic by allowing them to guarantee loans, make purchases, and take other steps to expand domestic production of health and medical resources needed to combat COVID-19. The EO also allows the secretaries to establish voluntary agreements and advisory committees to support these efforts. ",Executive Order 13911,"Department of Health and Human Services,Department of Homeland Security",Health Emergency,"COVID-19 Pandemic
","Government Contracts,Provision of Supplies",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,No,,No,,Scenario 2,Include,Executive Order,,3/27/2020,,2020-06969.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/6HcsB4b8tOl1qTGI-riAuw/_EZfzlK86ZNIkRk7EcIQEgcdcC1T1PS7djp0eSdWJB1XdBnUD0kK0Nz-D0uZ0g5HASH5AOYG4ha_kHODyqO_0WsIfEUXyGQEeASLnvMyKRaZLWCMMQ4sgoKB5pL2kESfeHJiqHv-qzh3sVIs7BAogg/YglnwD7nxanfeqcpiwI85n0-PkQj-9gcA_6zB1J8AKM),,https://www.govinfo.gov/content/pkg/FR-2020-04-01/pdf/2020-06969.pdf,
Executive Order 13912,,This EO empowered the Secretaries of Defense and Homeland Security to activate National Guard and Individual Ready Reserve members for up to two years to support the COVID-19 response efforts. The authority for this order is derived from 10 USC § 121 and § 12302. The order allows for the activation of up to one million members of the Reserve and will be coordinated and commanded by the secretaries of Defense and Homeland Security. ,Executive Oder 13912,"Department of Health and Human Services,Department of Defense",Health Emergency,"COVID-19 Pandemic
","""Troop, Uniformed Service, or National Guard Deployment""",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,No,,No,,Scenario 2,Include,Executive Order,,3/27/2020,,2020-06985.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/fQdIegfmh--V0qDu3y2jCw/jgzm_9WVB9_tFATrdYaGXBHJfC2vEItBTgxMS0LK_C7ZV1ZbiATle2XBh-gOwCV76Nkg0nh1r0zV95vRbBhvyFb9K9pdxicx7DTv5-PMF6i_ulNXn9NBYpTKq8ycHUaSGE886iDd16mqhISTznC6Fw/Zui9qql0cBdwLVcMdq93v2OHVpv4aCYrnJkRs00jPAc),,https://www.govinfo.gov/content/pkg/FR-2020-04-01/pdf/2020-06985.pdf,
Executive Order 13941,,"This EO was intended to improve rural health and expand telehealth access as a response mechanism to challenges highlighted by the COVID-19 pandemic. The order required the Secretary of Health and Human Services (HHS) to develop and innovative payment model for such telehealth visits, and in conjunction with the Secretary of Agriculture, to develop and implement a strategy to improve physical and communications healthcare infrastructure in rural areas within the United States. Finally, HHS was tasked with proposing regulations to extend the measures implemented to increase access to telehealth services during COVID-19 beyond the emergency period. ",Executive Order 13941,"Department of Health and Human Services,Department of Agriculture,Federal Communications Commission,Executive Office of the President of the United States - Office of Management and Budget",Health Emergency,"COVID-19 Pandemic
","Provision of Medical Care,Communications",Not applicable,Domestic,No,Executive Order,No,,Yes,,Scenario 2,Include,Executive Order,,8/3/2020,,2020-17364.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/X2DkhDef-jkDarj7Iaks6Q/hlBCZtE5s-1PPZBkGhi06-fEL3d_gEDO4ZoCdlgg-aF1W32hFTh_X4Eiasyjc3UdcEVjySDz3_qtzRU-9ob0czDJV41OEG9hS9tQhVc5PRYHv9RaEzfX4ElWTEBOeFOXAs41LPQwlZPNRK9YCcU3WA/no4jQvlxT1fyzungJjp4NAaZCI68RiYuY4vCVQyau1Q),,https://www.govinfo.gov/content/pkg/FR-2020-08-06/pdf/2020-17364.pdf,
Executive Order 13944,,This EO was empowered the HSS Secretary to combat the hoarding and price gouging of essential medical supplies and equipment during the COVID-19 pandemic. The order requires the US Food and Drug Administration (FDA) to create a list of essential medical countermeasures and critical inputs and the Secretary of Defense to identify vulnerabilities in the supply chain for such products. The order also focuses on increasing domestic production of critical products by directing agencies involved in product procurement to prioritize domestic production and encourage US based manufacturing of pharmaceuticals. The Environmental Protection Agency (EPA) was also tasked with streamlining requirements to facilitate and expedite the domestic production of critical inputs to these products. ,Executive Order 13944,Department of Health and Human Services,Health Emergency,COVID-19 Pandemic,"Provision of Supplies,Government Contracts",Not applicable,Domestic,No,Executive Order,No,,No,,Scenario 2,Include,Executive Order,,8/6/2020,,2020-18012.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/-zy2ic4b9hhPC8818_pNPw/pmS3nipZtMOCXrhdCK74BXgrbioH06IK-J80aDPvVsf6uSy_v3IC99N3PO0GOKgMtWsrbH9kq79vRd0L4ehWrAtQ4q82TMCMoaSGO2zrFnRAjIJ1aL5UEm8MMUg3u22X7931QHPz_jEUicJ6mpi--Q/zs3gCKMTZ367q6TI1Th6EHmgweQ505gZzQJFW3Wvpwo),"*not entirely sure if this falls within the scope of our project, so airing on the side of caution",https://www.govinfo.gov/content/pkg/FR-2020-08-14/pdf/2020-18012.pdf,
Executive Order 13962,,"This EO empowered the Heath and Human Services (HHS) Secretary to prioritize American access to safe and effective COVID-19 vaccines developed or procured by the U.S. government. The order specifically directs the HHS to prioritize access of COVID-19 vaccines developed or procured by the US government for American citizens over other populations. The order requires that vaccines be distributed and administered in an efficient and equitable fashion. After all Americans have access to COVID-19 vaccines, the Administrator of the United States Agency for International Development (USAID) may coordinate with international partners to facilitate international access to COVID-19 vaccines. ",Executive Order 13962,Department of Health and Human Services,Health Emergency,COVID-19 Pandemic,"Vaccination,Government Contracts",Not applicable,Both,Yes - Subject to Posse Comitatus,Executive Order,No,,No,,Scenario 2,Include,Executive Order,,12/8/2020,,2020-27455.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/5RCTlFTLFINbvKwZmxBB0Q/9o6sMLruJK1ek_ejyJ7qPyMyhufjvRV-hUPZ89sNfxE4NjPeiWDoWNrEuGRIZQ4gaBeGGLVaNctTUya0S4Lg-ohSbV51bW2IMAxCMh09a0JDnCqwrW3qbXampm9ujvMN8VYVD0mBk7lduiCVdZxIWg/4-_yo-HcA7DnxXUX3qpxRKz1rZ0anf-WVc6l1CCxZFE),,https://www.govinfo.gov/content/pkg/FR-2020-12-11/pdf/2020-27455.pdf,
Executive Order 13997,,"This EO enables the Secretary of Health and Human Services, in consultation with the Director of the National Institutes of Health, to develop plans to support new studies for promising COVID-19 treatments, ensure equitable access to treatments, and coordinate with Department of Defense/the Department of Veteran's Affairs to enhance production and distribution of COVID-19 treatments in critical and long-term care facilities. ",Executive Order 13997,"Department of Health and Human Services,Department of Defense,Department of Veterans Affairs",Health Emergency,"COVID-19 Pandemic
",Research and Development,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,No,,No,,Scenario 2,Include,Executive Order,,1/21/2021,,2021-01858.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/ltb5dxmurIVBptAuP0eYAg/JHNqlWW3HuLuT1-FsjumaOiRTdPVyROqE00t7Hx_IATu6ITqIvr1-N1qViSpFmd9VehsDF8_QbJtmk4KoWxkxWA3mSIwogbTBUBNG0x3Oq9FdI3gX6RlnHJaRbf1fL-t23WvLewb8YdVugSbbNj5fg/doDOwWJS9Qw-NtNT9TtDlDp9dkc1beTFVroAeXGc2Pg),,https://www.govinfo.gov/content/pkg/FR-2021-01-26/pdf/2021-01858.pdf,
Executive Order 13618,,"This EO was designed to create a secure and resilient communication system to be used during national security and emergency situations. The Director of the Office of Science and Technology Policy (OSTP) is tasked with overseeing efforts to reform this system and advise the President on the initiative. The order also create an Executive Committee of NS/EP Communications co-chaired by the Department of Defense (DoD) and Homeland Security (DHS), as well as a Joint Program Office under DHS to support activities related to the committee. DoD is additionally tasked with developing NS/EP communications systems that affect national security and include communications with the President, Vice President or national senior leadership. ",Executive Order 13618,"Office of Science & Technology Policy,Department of Homeland Security,Department of Defense",No triggering event - Capacity Building,N/A - part of emergency preparedness,Communications,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Executive Order,,7/6/2012,,2012-17022.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/JCFWXSM7VEzpjVpMr_EjiQ/Rzynh6HhIdCgYkcg0Wgz41Yr73uHsFBoOOSi0Vf22yl96Wbw29WkXdA-DQGmoV1ONi0EBCnfyUjaT1qZqZqhkc7QQESHNBQ8AwYTdGKhwVf21yJ7lNUwtG2QM0M6K-s0U2gw0MZDoY2d9YdvhPgy2g/-rvnzbENhBdXLsen2De3L0iJ6h6weJpqQGZEBnV7fCQ),*doesn't empower/specify which agencies,https://www.govinfo.gov/content/pkg/FR-2012-07-11/pdf/2012-17022.pdf,
Executive Order 13286,,This EO amends numerous previous executive orders to reflect the transfer of certain functions and responsibilities to the newly created Department of Homeland Security. ,Executive Order 13286,Department of Homeland Security,No triggering event - Capacity Building,"N/A
",General Rules and Regulations,Not applicable,Domestic,Yes,Executive Order,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Executive Order,,2/28/2003,,03-5343.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/YL7KsTO0k5Wr7PBcNN-xcA/Waw6KjaajuZ7-SUXmSFSUyG5AcxH5ap4TMeEaHPMRoF5kM2GO8yQuYZ4T3ILBvpvUnNTIyXriFhsYHBG7PI4tyxFUlZtmWpSuzHoDy6T20DlXiQvCTaTiH3Zu4ENHZ1fOCpXZteMliNEXlTz1REBjg/YNP7_aX1h8EwTcsKzJKJf8rSo_wJg5um8OIlOpx1xdQ),*including to air on the side of caution ,https://www.govinfo.gov/content/pkg/FR-2003-03-05/pdf/03-5343.pdf,
Executive Order 12656,,"This EO ensures the continuation of essential government functions in the event of a national emergency, and outlines the responsibilities of departments in response to such an emergency. ",Executive Order 12656,Broadly applies to any relevant federal agency,"NEA Emergency Declaration,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Any occurrence that severely degrades or threatens the security of the U.S.,"Response Leadership,Mission Assignment/Response Coordination",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Executive Order,,11/18/1988,,12656.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/ukrqcpiAPHG7KLKuN-4tQA/5DWfjkjUuYsiLtUQScF1aNHcfcNoRRm6wf2AMNqYLo_zbipZ-s1-O20IYl73yrBIcbWa-A7_7tW6rIz9Lu5wLvZ3sqFr307hDrlpRao71XLmOa45oCdQeRgNQv7L2pptlzxBq4Qk_aZr4YNCN8Wjvg/Cck5aLoV-sGMG3qk7A6WHDm8GEuthvqvd7UwEYRCplA),,https://archives.federalregister.gov/issue_slice/1988/11/23/47491-47512.pdf,
Executive Order 13546,,"This EO focuses on enhancing the security of BSATs within the US, and prevents the misuse of such hazardous materials amongst research efforts. It mandates BSAT security as these toxins are a great risk to public health.",Executive Order 13546,"Department of Agriculture,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,N/A,Strategies and General Preparedness Efforts,Not applicable,Domestic,No,Executive Order,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Executive Order,,7/2/2010,,eo-13546.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/geOufm3QOQDb6BIZGLEG-g/qjojV23eWsH-8sUehTy35OQ1heeipwZvxnC0544vyiDCTlA8vJTGXp32RskC0eZEweqQHIEmb9dNL5SdbQLb_IN2jYggZhHwvHVj43M_jCubqmz-RVbJDyVfW7QigXpCjxK3elB7q0FxvqgDhqItc-rF2w_nqbQg6IbqT0T6ejU/6XcpQxJNcvCiuCL6XHhW4OYNU1pgiWW_3menWrENt8o),,https://irp.fas.org/offdocs/eo/eo-13546.pdf,
