Citation,Entity Empowered,Triggering Event,Location
Presidential Policy Directive 8,"Department of Defense,Department of Homeland Security",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 2,"Department of Homeland Security,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Defense,Broadly applies to any relevant federal agency,Department of Health and Human Services - National Institutes of Health",No triggering event - Capacity Building,Domestic
Presidential Directive 2013-07926,"Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Presidential Directive 2011-14236,"Department of Health and Human Services - Public Health Service,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Presidential Directive 02-33047,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 10,"Department of Justice,Department of Defense,Department of Homeland Security,Department of State,Department of Health and Human Services,Department of Veterans Affairs",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 18,"Department of Defense,Department of Homeland Security,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Presidential Memorandum on the Support for National Biodefense,"Broadly applies to any relevant federal agency,Environmental Protection Agency,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Presidential Decision Directive NSTC 7,"Broadly applies to any relevant federal agency,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services,Department of State",No triggering event - Capacity Building,Domestic
Presidential Directive 2020-19504,"Department of Defense,Department of Defense - Defense Health Agency",No triggering event - Capacity Building,Domestic
42 U.S.C. § 1395hh,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 1395rr,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
Presidential Directive 2022-04778,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
Presidential Directive 2022-07756,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
Presidential Directive 2023-28947,Department of Defense,Health Emergency,Domestic
Presidential Directive 2020-05580,"Department of Labor,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-06476,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-06989,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-06987,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-07453,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-07801,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-08397,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-08394,Department of Veterans Affairs,Health Emergency,Domestic
Presidential Directive 2020-08643,"Department of Defense,Department of the Treasury,Department of State",Health Emergency,Domestic
49 U.S.C. § 46105(c),"Department of Transportation,Department of Transportation - Federal Aviation Administration","Natural Disaster,Health Emergency,Terrorism,Act of War,Potential Public Health Emergency",Domestic
49 U.S.C. § 44905(b),"Department of Homeland Security - Transportation Security Administration,Department of Homeland Security","Natural Disaster,Health Emergency,Terrorism,Act of War,Potential Public Health Emergency",Domestic
49 U.S.C. § 20104(a)(1),"Department of Transportation,Department of Transportation - Federal Railroad Administration","Natural Disaster,Health Emergency,Potential Public Health Emergency,Act of War,Terrorism",Domestic
49 C.F.R. § 1,Department of Transportation,No triggering event - Capacity Building,Domestic
10 U.S.C. § 2670,Department of Defense,No triggering event - Capacity Building,Both
10 U.S.C. § 2552,Department of Defense,No triggering event - Capacity Building,Both
10 U.S.C. § 2557(a)(1) ,"Department of Homeland Security,Department of Defense","Natural Disaster,Health Emergency,Potential Public Health Emergency",Both
10 U.S.C. § 2561 ,Department of Defense,Natural Disaster,Both
42 U.S.C. § 11001,State Governments/Governors,No triggering event - Capacity Building,Domestic
7 U.S.C. § 8901; 8912,Department of Homeland Security,No triggering event - Capacity Building,Domestic
18 U.S.C. § 2332a,"Department of Justice,Department of Justice - Federal Bureau of Investigation","Terrorism,Act of War",Both
7 U.S.C. § 8401,Department of Agriculture,No triggering event - Capacity Building,Domestic
7 U.S.C. §§ 8351–8353,Department of Agriculture,No triggering event - Capacity Building,Domestic
7 U.S.C. § 8303,Department of Agriculture,Potential Public Health Emergency,Both
7 U.S.C. § 8304,Department of Agriculture,Potential Public Health Emergency,Both
7 U.S.C. § 8305,Department of Agriculture,Potential Public Health Emergency,Domestic
7 U.S.C. § 8306,Department of Agriculture,Potential Public Health Emergency,Domestic
7 U.S.C. § 8308,Department of Agriculture,Potential Public Health Emergency,Domestic
7 U.S.C. § 8310,Department of Agriculture,Potential Public Health Emergency,Both
7 U.S.C. § 8315,Department of Agriculture,No triggering event - Capacity Building,Both
7 U.S.C. § 8316,Department of Agriculture,Potential Public Health Emergency,Both
7 U.S.C. § 8319,"Department of Agriculture,Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention,Food and Drug Administration",No triggering event - Capacity Building,Both
7 U.S.C. § 8320,Department of Agriculture,No triggering event - Capacity Building,Both
7 U.S.C. § 8321,Department of Agriculture,No triggering event - Capacity Building,Both
31 U.S.C. § 1301(a),"Department of Defense - Department of the Army,Department of the Treasury",No triggering event - Capacity Building,Domestic
10 U.S.C. § 12304b,Department of Defense,"Act of War,Terrorism,Declaration of War,Insurrection",Both
10 U.S.C. § 12304,"Department of Defense,Department of Homeland Security,Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","Terrorism,Act of War",Both
10 U.S.C. § 12304a,Department of Defense,Presidential Major Disaster Declaration,Domestic
10 U.S.C. § 12310,Department of Defense,No triggering event - Capacity Building,Both
42 U.S.C. § 5197(d),"Federal Emergency Management Agency,Department of Homeland Security",Presidential Major Disaster Declaration,Domestic
31 U.S. Code § 1535,"Government Accountability Office,Executive Office of the President of the United States - Office of Management and Budget",No triggering event - Capacity Building,Domestic
42 C.F.R. §§ 457.1000-457.1015,"Department of Health and Human Services,Department of Health and Human Services - Centers for Medicare & Medicaid Services",No triggering event - Capacity Building,Domestic
42 C.F.R. § 482,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
9 C.F.R. §§ 49–56,Department of Agriculture,No triggering event - Capacity Building,Both
31 U.S.C. § 1111; 503; 41 U.S.C. § 405,"Department of the Interior,Department of Health and Human Services,Executive Office of the President of the United States - Office of Management and Budget",No triggering event - Capacity Building,Domestic
7 C.F.R. §§ 789.1–789.73,Department of Commerce,Defense Production Act invocation,Domestic
50 U.S.C. § 4501 et seq,POTUS or Executive Office of the President of the United States,"Act of War,Health Emergency,Natural Disaster,Presidential Major Disaster Declaration,NEA Emergency Declaration,Terrorism",Domestic
SMG 1401.1,"Food and Drug Administration,Department of Health and Human Services",Health Emergency,Domestic
"42 U.S.C. 3149, 5121, 5122, 5133, 5149, 5152, 5154, 5155, 5165, 5165b, 5170, 5170a, 5170b, 5170c, 5172, 5174, 5187, 5189a, 5189f, 5189g, 5191 and 5205","Federal Emergency Management Agency,Department of Homeland Security,Department of Housing and Urban Development,Environmental Protection Agency",No triggering event - Capacity Building,Domestic
6 U.S.C § 101 et seq. ,"Department of Homeland Security,Federal Emergency Management Agency,Department of Transportation,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
47 C.F.R. § 11.54,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Both
48 C.F.R. § 18,"General Services Administration,Department of Defense,National Aeronautics and Space Administration","Terrorism,Act of War,Presidential Major Disaster Declaration,Presidential Emergency Declarations,NEA Emergency Declaration,Natural Disaster",Both
48 C.F.R. §§ 218,Department of Defense,"Terrorism,Act of War,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration",Both
"Defense Federal Regulation Supplement - Procedures, Guidance, and Information ",Department of Defense,"Terrorism,Act of War,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration",Both
34 U.S.C. §§ 50101–50112,"Department of Justice,Department of Justice - Bureau of Justice Assistance",Law enforcement emergency,Domestic
42 U.S.C. § 5196,Broadly applies to any relevant federal agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
5 C.F.R. § 2601.203-.204;,"Department of Defense,Department of Justice,Department of State,Department of Homeland Security,Department of the Treasury,Environmental Protection Agency,Department of Justice - Federal Bureau of Investigation,Department of Health and Human Services","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 C.F.R.§ 489.24,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services","Health Emergency,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration",Domestic
42 C.F.R. § 512.294,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services","Health Emergency,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration",Domestic
52 C.F.R. § 510.305,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services","Health Emergency,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 U.S.C. § 1395dd (a),Department of Health and Human Services,Hospital Receives Federal Funding,Domestic
42 U.S.C. § 1395dd (b)(1),Department of Health and Human Services,Hospital Receives Federal Funding,Domestic
42 U.S.C. § 1395dd (c)(1),Department of Health and Human Services,Hospital Receives Federal Funding,Domestic
42 U.S.C. § 1395dd (b)(3),Department of Health and Human Services,Hospital Receives Federal Funding,Domestic
42 U.S.C. § 1395dd (c)(2),Department of Health and Human Services,Hospital Receives Federal Funding,Domestic
42 U.S.C. § 1395dd (f),Department of Health and Human Services,Hospital Receives Federal Funding,Domestic
42 U.S.C. § 1395dd (h),Department of Health and Human Services,Hospital Receives Federal Funding,Domestic
42 C.F.R. §§ 300-370,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
6 U.S.C. § 313,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
49 C.F.R. §§ 602.3–602.17,"Department of Transportation,Department of Transportation - Federal Transit Administration","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
44 C.F.R. § 18.2,Broadly applies to any relevant federal agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
44 C.F.R. §§ 350-354,Federal Emergency Management Agency,No triggering event - Capacity Building,Both
44 C.F.R. § 360,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
44 C.F.R. § 333,Federal Emergency Management Agency,No triggering event - Capacity Building,Both
44 C.F.R. § 334,Broadly applies to any relevant federal agency,No triggering event - Capacity Building,Both
44 C.F.R. § 332,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
44 C.F.R. § 331,Federal Emergency Management Agency,No triggering event - Capacity Building,Both
44 C.F.R. § 302,Federal Emergency Management Agency,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
44 C.F.R. § 300,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
44 C.F.R. § 304,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
44 C.F.R. § 312,"Federal Emergency Management Agency,Department of Defense","Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic
44 C.F.R. § 321,"Department of Defense,Department of Energy,Federal Emergency Management Agency,Department of Transportation - Maritime Administration",No triggering event - Capacity Building,Both
44 C.F.R. § 323,"Federal Emergency Management Agency,Department of Defense","Act of War,Terrorism,Presidential Major Disaster Declaration",Domestic
44 C.F.R. § 327,"Federal Emergency Management Agency,Department of Defense",No triggering event - Capacity Building,Domestic
44 C.F.R. § 361,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
44 C.F.R. Part 204,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
9 C.F.R. §§ 301–381,Department of Agriculture,No triggering event - Capacity Building,Both
42 U.S.C. 5170a,"Federal Emergency Management Agency,Department of Homeland Security",Presidential Major Disaster Declaration,Domestic
42 C.F.R. §§ 510–512,Department of Health and Human Services,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,PHSA Emergency Declaration",Domestic
42 U.S.C. § 17903,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
6 U.S.C. §§ 101-1405,Department of Homeland Security,"Terrorism,Health Emergency,Natural Disaster",Domestic
44 C.F.R. § 206.48(b) ,Federal Emergency Management Agency,"Health Emergency,Natural Disaster,Terrorism,Act of War,Potential Public Health Emergency",Domestic
10 U.S.C. §§ 251–255,POTUS or Executive Office of the President of the United States,Insurrection,Domestic
9 C.F.R. §§ 70–166,Department of Agriculture,No triggering event - Capacity Building,Both
28 C.F.R. § 549,"Department of Justice,Department of Justice - Bureau of Prisons",No triggering event - Capacity Building,Domestic
44 C.F.R Part 207,Federal Emergency Management Agency,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 C.F.R. §§ 441–460,Department of Health and Human Services,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,PHSA Emergency Declaration",Domestic
42 C.F.R. § 38,Department of Health and Human Services,"Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic
42 C.F.R. § 403.748,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 C.F.R. §§ 410–418,Department of Health and Human Services,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,PHSA Emergency Declaration",Domestic
42 C.F.R. § 422,Department of Health and Human Services,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,PHSA Emergency Declaration",Domestic
42 C.F.R. §§ 422.100(m),Department of Health and Human Services,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,PHSA Emergency Declaration,Governor or Protectorate Emergency Declaration",Domestic
"42 CFR §§ 400, 405, 409, 410, 412, 414, 415, 417, 418, 421, 422, 423, 425, 440, 482, and 510",Department of Health and Human Services,PHSA Emergency Declaration,Domestic
50 U.S.C. §1601-1651,POTUS or Executive Office of the President of the United States,"Natural Disaster,Health Emergency,Act of War,No triggering event - Capacity Building",Domestic
10 U.S.C. § 123,"Department of Homeland Security - Coast Guard,Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 123a,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","Act of War,Declaration of War,NEA Emergency Declaration",Both
10 U.S.C. § 527,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","Act of War,Declaration of War,NEA Emergency Declaration",Domestic
10 U.S.C. § 194,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","Act of War,Declaration of War,NEA Emergency Declaration",Domestic
10 U.S.C. § 155,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","Act of War,NEA Emergency Declaration,Declaration of War",Both
10 U.S.C. § 603,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","Act of War,NEA Emergency Declaration,Declaration of War",Both
10 U.S.C. § 620,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 688,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 690,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","Act of War,NEA Emergency Declaration,Declaration of War",Domestic
10 U.S.C. § 708,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","Act of War,NEA Emergency Declaration,Declaration of War",Domestic
10 U.S.C. § 712,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",International
10 U.S.C. § 857,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 1060c,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Domestic
10 U.S.C. § 1076a,"Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 1491,"Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 2208,"Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 2350j,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 1580,"Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 2461,"Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 2632,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 2662,"Department of Defense,POTUS or Executive Office of the President of the United States,General Services Administration","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 2808,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 7014,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Domestic
10 U.S.C. § 7375,"Department of Labor,Department of Defense - Department of the Army,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Domestic
10 U.S.C. § 8014,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 8102,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 8385,"Department of Defense - Department of the Army,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 8624,"Department of Defense - Department of the Navy,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 9014,"Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 9375,"Department of Labor,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States",NEA Emergency Declaration,Domestic
10 U.S.C. § 12006,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 12302,"Department of Defense - Department of the Army,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Both
10 U.S.C. § 12311,"Department of Defense - Department of the Army,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Both
14 U.S.C. § 104,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Domestic
14 U.S.C. § 2127,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Both
14 U.S.C. § 2308,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Both
14 U.S.C. § 2314,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Both
14 U.S.C. § 2779,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Domestic
14 U.S.C. § 3735,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Both
14 U.S.C. § 4903,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Both
