Citation,Parent Statute,Document Description,File,Date Originally Published (from File),Date Last Updated (from File)
6 U.S.C. § 725,Post-Katrina Emergency Management Reform Act (PKEMRA),"The Post-Katrina Emergency Management Reform Act (PKEMRA) was enacted in 2006 improves the federal government’s disaster preparedness and response capabilities  in the United States. Main actors include the Federal Emergency Management Agency (FEMA), state and local governments, and the Department of Homeland Security. It is triggered by major disasters and emergencies, and enables actions such as enhanced coordination, resource allocation, and response efforts.",Post Katrina Emergency Management Reform Act,10/4/2006,
,The United States Constituion,"The US Constitution was drafted in 1787 during the Constitutional Convention in Philadelphia, to replace the Articles of Confederation. The main actors were comprised of delegates from the original 13 colonies. The overarching goal was to establish a stronger federal government  and unify the states under a common legal framework. ",US Constiution,6/21/1788,5/22/1992
31 U.S.C. § 1301(a);,US Code Title 31,"US Code Title 31, enacted in 1874, outlines the role of the money and finance in the United States Code. The main actors include Congress, federal agencies, and the Treasury Department, who collectively oversee budgetary processes, financial management, and the regulation of government expenditures. The code is intended to ensure transparency, accountability, and sound financial management within the federal government.",US Code Title 31,9/13/1982,
44 CFR,Title 44 of Code of Federal Regulations,"Title 44 of the CFR governs federal records management and information policy. Title 44 was implemented to ensure standardized practices in alignment with the Paperwork Reduction Act of 1980. The primary actors include federal agencies, the National Archives and Records Administration (NARA), and the Office of Management and Budget (OMB). These agencies ensure efficient government operations, preservation of historical records, and compliance with Federal transparency requirements.",Title 44 of CFR,1/3/2017,3/22/2024
15 U.S.C Chapter 49,The National Fire Prevention and Control Act,,The National Fire Prevention and Control Act,10/29/1974,
42 U.S.C. 4001 et seq,The National Flood Insurance Act,,The National Flood Insurance Act,8/1/1968,
"42 U.S.C. §§ 7701, et seq",Earthquake Hazards Reduction Act of 1977,,Earthquake Hazards Reduction Act of 1977,10/7/1977,12/27/2022
50 U.S.C. § 4501 et seq,Defense Production Act of 1950,"The Defense Production Act (DPA) authorizes the President to direct private industries to prioritize and expedite the production of materials and goods essential for national defense. It was triggered by the Korean War (1950) and can be activated during various emergencies. The main stakeholders include the President, federal agencies, and private industry.",Defense Production Act of 1950,9/8/1950,8/13/2018
"50 U.S.C. §§ 403, 405.",National Security Act of 1947,"The National Security Act of 1947 created a framework, framework for coordinating U.S. national security, through the creation of institutions such as the National Security Council (NSC) and the agencies such as the Central Intelligence Agency (CIA). The act was fueled by the need for a stronger, coordinated national defense strategy post WWII. The main stakeholders include the President, the NSC, and intelligence agencies. Under the NSA actions strategic planning and intelligence coordination to address threats to national security. ",National Security Act of 1947,7/26/1947,11/25/2002
"42 U.S.C. §§ 4001, et seq",The Biggert-Waters Flood Insurance Reform Act of 2012,,The Biggert-Waters Flood Insurance Reform Act of 2012,7/6/2012,
"33 U.S.C. 467d, 467f and 467j",National Dam Safety Program Act,,National Dam Safety Program Act,12/22/2006,
36 U.S.C. § 143,McKinney-Vento Homeless Assistance Act,,McKinney-Vento Homeless Assistance Act,10/30/2002,
"44 C.F.R § 201, 204, 206",Emergency Management and Assistance,"This document relays the policies for emergency management in the US. The major players are FEMA and the local, state, and federal management agencies.",Title 44 of CFR,1/3/2017,3/22/2024
"42 U.S.C. § 5170, 5192, 5123, 5187, 5173, 5172, 5174, 5177, 5179, 5180, 5182, 5183, 5184, 5185, 5186, 5189, 5193, 5192, 5191, 5162, 5143, 5122, 4170, 5123",The Public Health And Welfare,This code concerns public health and welfare. The major players include the HHS in providing social services and protecting civil rights. It is invoked during health emergencies and to support welfare programs.,USC Title 42,7/1/1944,12/13/2016
44 C.F.R. § 206.48(b) ,Individual Assistance Declaration Factors,"The Individual Assistance Declaration Factors were revised by FEMA in 2019 as part of the Sandy Recovery Improvement Act of 2019. It established six key factors for evaluating a governor's request for a major disaster declaration authorizing Individual Assistance. These factors include state fiscal capacity, uninsured losses, impacted population profile, community infrastructure impact, casualties, and disaster-related unemployment.",Individual Assistance Declaration Factors,3/21/2019,
"6 U.S.C § 314, 317",Domestic Security,This title establishes the Department of Homeland Security and its role to protect domestic security against threats by enacting emergency responses. It was created in response to 9/11. Main stakeholders include FEMA and DHS.,USC Title 6,7/30/1947,9/13/1982
SMG 1401.1,Delegation of Authority to Regional Administrators,"This document outlines the FDA's policies for emergency response, which is invoked during public health emergencies to provide structure and ensure safety.",Delegation of Authority to Regional Administrators,1/20/2011,
"2 C.F.R § 200, 215","Uniform administrative requirements, cost principles, and audit requirements for federal awards","These regulations explain the rules for federal grants, with the main actor being the OMB. It sets forth grant and cost principles for various entities.",CFR Title 2,,1/1/2020
121 STAT. 112 PUBLIC LAW 110–28,"US Troop Readiness, Veterans' Care, Katrina Recovery, and Iraq Accountability Appropriations Act","This act was establish to provide support and funding for military efforts, veterans' care, post-Hurricane Katrina reparations, and various measures for the Iraq War. Main stakeholders were branches of the US military, the VA, and FEMA.","""US Troop Readiness, Veterans' Care, Katrina Recovery, and Iraq Accountability Appropriations Act""",5/5/2007,
48 U.S.C. § 1469a(d),Territories and Insular Possessions,"This document includes laws regarding US territories and their governmental structure, outlining their rights. ",USC Title 48 ,3/12/1980,10/5/1984
50 U.S.C. §1601-1651,National Emergencies Act,"This act allows the President to declare national emergencies and coordinate federal responses accordingly. 
",National Emergencies Act,9/14/1976,
42 U.S.C. §§ 4151- 4157,Architectural Barriers Act of 1968,,Architectural Barriers Act of 1968,8/12/1968,11/2/1994
6 U.S. Code § 313,Federal Emergency Management Agency,"The 6 U.S. Code § 313 officially establishes the Federal Emergency Management Agency (FEMA) under the Department of Homeland Security. FEMA was codified to coordinate the official federal response to disasters and emergencies. 6 U.S. Code § 313 was triggered by the need for efficient disaster response and management, and involves stakeholders such as the President, FEMA, state, and local governments. Actions taken can include mobilizing resources, providing disaster relief, and coordinating recovery efforts during and after emergencies.",Federal Emergency Management Agency,10/4/2006,7/13/2021
31 U.S.C. §1301,Sec. 1301. Application,,31 U.S.C. 1301 - Application,9/13/1982,2/15/2019
31 U.S.C. §1553 ,Availability of appropriation accounts to pay obligations,,Availability of appropriation accounts to pay obligations,9/13/1982,1/5/2023
31 U.S.C. 1552 ,Procedure for appropriation accounts available for definite periods,,Procedure for appropriation accounts available for definite periods,9/13/1982,1/5/2023
31 U.S.C. 1502 , Balances available,,Balances available,9/13/1982,1/5/2023
41 U.S.C. § 3902,Severable services contracts for periods crossing fiscal years,,Severable services contracts for periods crossing fiscal years,1/4/2011,1/5/2023
31 U.S.C. § 3302(b),Custodians of Money,,Custodians of money,9/13/1982,1/5/2023
31 U.S. Code § 1535,Agency agreements,,Agency agreements,9/13/1982,1/5/2023
42 U.S.C. 5170a,General Federal assistance,,General Federal assistance,11/23/1988,
42 U.S.C. § 5197(d),Administrative authority,,Administrative authority,11/23/1988,
40 U.S.C. 503,Exchange or sale of similar items,,Exchange or sale of similar items,6/30/1949,1/5/2023
40 U.S.C. § 571,General Rules for Deposit and Use of Proceeds,,General rules for deposit and use of proceeds,6/30/1949,1/5/2023
Homeland Security Presidential Directive 5,,"This directive was issued to improve response to domestic incidents by establishing a management system. The main actor is the DHS. It acts to ensure effective response to various types of emergencies in the US.
",Homeland Security Presidential Directive 5,2/28/2003,
Presidential Policy Directive 8,,"This directive strengthens the US security system against terrorism, health crises, natural disasters, and cybersecurity threats. Major agencies include DHS, HHS, and DOD, along with others that work to provide mitigation strategies. ",Presidential Policy Directive 8,3/30/2011,
31 U.S.C. § 1111 and 503 41 U.S.C. § 405,"COST PRINCIPLES FOR STATE, LOCAL, AND INDIAN TRIBAL GOVERNMENTS","This policy outlines principles regarding budget allocation for state, local, and tribal governments. They ensure effective use of government funding.","""COST PRINCIPLES FOR STATE, LOCAL, AND INDIAN TRIBAL GOVERNMENTS""",1/1/2012,
31 u.s.c. § 1301(a),31 USC CHAPTER 13- Appropriations,"This law ensures that federal funds are only used as they were designed, and promotes financial accountability within all sectors of the federal government.",31 U.S.C. §1301,9/13/1982,
29 U.S.C. § 651- 678,Occupational Safety and Health Act of 1970,This act was enacted to ensure safe and healthy working conditions for employees by setting business operating standards bound by law. It mainly involves the Occupational Safety and Health Administration.,"""Occupational Safety and
Health Act of 1970""",12/29/1970,
"5 U.S.C.  § 5911, 5901, 7903", USC Title 5—Government Organization And Employees,"This title of the US Code outlines laws regarding roles and responsibilities of the federal government, ensuring efficiency within its agencies and personnel. It encompasses civil service and applies to all facets of the government.",USC Title 5,3/1/2008,
44 C.F.R. §§ 206.31 – 206.67,The Declaration Process and Emergency Assistance ,"This section describes the process for requesting Presidential emergency declarations. It outlines preliminary damage assessment, procedures for requesting DOD resources, and procedures for Governors to request emergency declarations. It describes how FEMA processes declaration requests and how affected states are notified. It also covers federal cost-share arrangements. ", Federal Disaster Assistance,3/21/1989,10/1/2023
44 C.F.R. §§ 206.200 – 206.253,"Public Assistance Grant Administration, Eligibility, and Insurance Requirements","This section outlines the purpose of the Public Assistance Program, detailing the process for applying for Public Assistance and types of grants available. It covers insurance requirements heavily, stating that facilities in Special Flood Hazard Areas must maintain flood insurance, the Regional Administrator determines insurance for non-flood disasters, insurance proceeds are deducted from eligible costs, and insurance requirements may be waived for projects under $5000. ","""Public Assistance
Grant Administration, Eligibility, and Insurance Requirements""",10/1/2023,12/11/1991
44 C.F.R Part 207,Management Costs,"This part implements section 324 of the Stafford Act, specifically management cost funding in disaster relief. It establishes FEMA as responsible for providing up to 3.34% of the federal share for Public Assistance program costs, and up to 4.89% of the federal share for Hazard Mitigation Grant Program costs.",Management Costs,,
44 C.F.R. Part 204,FMAG Program,"This part outlines the Fire Management Assistance Grant Program under FEMA. This program provides federal assistance to states, local governments, and tribes for mitigation and management of fires. It outlines eligibility, grant types, applications, and fire cost thresholds. ",FMAG Program,11/14/2001,10/1/2023
44 C.F.R. Part 9,Floodplain Management and Protection of Wetlands,"The purpose of this part is to avoid adverse impacts associated with occupancy and modification of floodplains, and minimize destruction/maximize preservation of wetlands. It determines an 8-step wetland evaluation process. ",Floodplain Management and Protection of Wetlands,11/26/1977,10/1/2021
44 C.F.R. Part 75,Exemption of State-Owned Properties under Self-insurance Plan,"This part outlines the process for exempting state-owned properties from flood insurance if they have other adequate insurance. It outlines the standards, application, and maintenance of an exemption.",Exemption of State-Owned Properties under Self-insurance Plan,,
2 C.F.R. Part 200,Uniform Administrative Requirements for Grants and Cooperative Agreements to State and Local Governments,"This document establishes uniform requirements, cost principles, and audit requirements for the application of federal awards to non-federal entities. ","""Uniform Administrative Requirements
for Grants and Cooperative Agreements to State and Local Governments""",9/11/2014,
2 C.F.R. Part 215,"Uniform Administrative Requirements for Grants and Cooperative Agreements with Institutions of Higher Learning, Hospitals, and Other Non-Profit Organizations","This document establishes uniform requirements for federal grants towards institutions of higher education, hospitals, and non-profits. ","""Uniform Administrative Requirements for Grants and Cooperative Agreements with Institutions of Higher Learning, Hospitals, and Other Non-Profit Organizations""",,1/1/2013
2 C.F.R. § 3002,"Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards","This document establishes uniform requirements, cost principles, and audit requirements for federal awards from the DHS. ","""Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance)""",12/26/2014,
29 U.S.C. § 794,Rehabilitation Act of 1973,This act is designed to prohibit discrimination in federal programs based on an individual's disability. It ensures fair practices in offering financial assistance and federal employment to enhance equal access to opportunities for individuals with disabilities. It involves all departments of the federal government.,Rehabilitation Act of 1973,9/26/1973,
42 U.S.C. §§ 12101-12213,Americans with Disabilites Act,"This act prohibits discrimination for individuals with disabilities in the private and public sector, including jobs, school, and transportation. This affects all governmental agencies.",Americans with Disabilites Act,1/1/2009,
42 U.S.C. §§ 4151-4157,Architectural Barriers Act of 1968,"This act ensures that individuals with disabilities have access to all federally funded architectural projects. It ensures equal access to federal buildings for all individuals with disabilities, and all government agencies are involved.",Architectural Barriers Act of 1968,8/12/1968,11/2/1994
42 U.S.C. § 5170b,The Pets Evacuation and Transportation Standards Act of 2006,"This act addresses emergency evacuation for pets and service animals, especially during natural disasters. FEMA is the major agency involved in this.",The Pets Evacuation and Transportation Standards Act of 2006,10/6/2006,
5 U.S.C. § 552a,Privacy Act,This act addresses the use of personally identifying information within federal agencies. It mainly involves the DOD and DHS. Federal agencies must adhere to guidelines in handling identifiable information and protecting individual privacy.,Privacy Act,12/31/1974,
2 C.F.R. Part 200,Uniform Guidance,"This document establishes uniform requirements, cost principles, and audit requirements for the application of federal awards to non-federal entities. ",Uniform Guidance,12/26/2014,
"5 U.S.C.  Chapter 5 7 U.S.C. 2036, 7508 and 7515 16 U.S.C. 2201, 2201, 2202, 2203 and 2206 23 U.S.C. 125 25 U.S.C. 479a 29 U.S.C. 201 31 U.S.C. 3321 42 U.S.C. 4321, 5121, 5122, 5155, 5170, 5170b, 5170c, 5172, 5173, 5174, 5184, 5189, 5191, 5301, 5304 and 5306 49 U.S.C. 5324, 5334 and 5338",The Sandy Recovery Improvement Act of 2013 (SRIA),"This act was aimed at improving disaster recovery efforts in the wake of Hurricane Sandy. Main objectives include: reducing costs, increasing flexibility in disaster assistance, expediting aid, and providing financial incentives for efficient project completion. It provided Public Assistance Program reforms, individual assistance improvements, hazard mitigation grant program changes, and has led to long term sustainability and better positioning of the nation to handle large-scale disasters. ",The Sandy Recovery Improvement Act of 2013 (SRIA),1/29/2013,
"25 U.S.C. 479a, et seq.",the Federally Recognized Indian Tribe List Act of 1994,"This document recognizes and lists the Native American tribes in the US. It outlines that Congress has plenary authority over Indian Affairs, Congress cannot terminate recognized tribes, and the US must recognize the tribes and their governmental system. It also mandates that the Secretary of the Interior must publish a list of all federally recognized tribes. ",Federally Recognized Indian Tribe List Act of 1994,11/2/1994,
,Bipartisan Budget Act of 2018,"This document increased the spending caps for defense and non-defense discretionary spending in 2018 & 2019. It suspended the debt ceiling until March 1, 2019, allocating funds for hurricane relief, narrowing imposed taxes and extending tax breaks. It expanded federal funding towards social services and child welfare, and made changes to the Medicare/Medicaid programs. ",Bipartisan Budget Act of 2018,2/9/2018,
40 U.S.C. §§ 3141-3148,The Davis-Bacon Act,"This act governs wage standards for federally funded construction projects. Contractors must pay laborers at least the local prevailing wages along with benefits. The act covers residential, heavy, buildings, and highway construction. The Dept of Labor is responsible for determining prevailing wages for various job classifications. ",The Davis-Bacon Act,3/3/1931,10/23/2023
42 U.S.C. § 5196,Emergency Management Assistance Compact (EMAC),"This agreement facilitates resource sharing between states during emergencies and disasters. It provides a system for personnel, equipment, and commodities to be shared. It is enacted when the governor declares an emergency, and includes legal liability protection along with a reimbursement structure. ",Emergency Management Assistance Compact (EMAC),10/19/1996,1/5/2023
6 U.S.C. §§ 101-1405,The Homeland Security Act,This act established DHS as an executive department with the primary mission of preventing terrorist attacks and minimizing associated damage.,Homeland Security Act,11/25/2002,
33 U.S.C. § 701b-1,Emergency Watershed Protection (EWP),This program is a federal emergency recovery initiative that provides assistance to communities affected by natural disasters. ,Emergency Watershed Protection (EWP),8/27/1937,1/5/2023
"42 U.S.C. §§ 7701, et seq",National Earthquake Hazards Reduction Program,"This program aims to reduce earthquake risks in the US. It develops practices for earthquake loss reduction, improves techniques for reducing vulnerabilities, and enhances risk assessments. ",Earthquake Hazards Reduction Act of 1977,10/7/1977,12/27/2022
16 U.S.C. ch. 55 § 3501 et seq,Coastal Barrier Resources Act (CBRA),"This act is aimed at protecting coastal areas. It works to minimize loss of human life, reduce wasteful federal expenditures, and protect wildlife. ",Coastal Barrier Resources Act (CBRA),10/18/1982,5/26/2006
"Executive Order 11,988, Floodplain Management",,"This order requires federal agencies to minimize flood impacts on human welfare. They must evaluate effects of actions in floodplains, consider flood hazards, and provide a public review of plans. ","""Executive Order 11,988, Floodplain Management""",5/27/1994,
"Executive Order 12,699, Seismic Safety of Federal and Federally Assisted or Regulated New Building Construction",,This order establishes requirements for earthquake safety in federal buildings. The Interagency Committee on Seismic Safety in Construction is responsible for recommending seismic construction standards for federal agencies to adopt. ,"""Executive Order 12,699, Seismic Safety of Federal and Federally Assisted or Regulated New Building Construction""",1/5/1990,
42 U.S.C. 4001 et seq,National Flood Insurance Act of 1968,"This act established the National Flood Insurance Program, which provides flood insurance to prone areas. Flood insurance became available to property owners who adopted floodplain management ordinances, prone properties with federally-backed mortgages, and gave subsidized rates to existing buildings in prone areas. It established the Federal Insurance Administration and created a program fund in the Treasury. ",The National Flood Insurance Act,8/1/1968,
U.S.C. 4002 et seq.,Flood Disaster Protection Act of 1973,This act strengthened the National Flood Insurance Program. It was passed to address the increasing costs for flood disasters. It made flood insurance mandatory in properties located in Special Flood Hazard Areas and required communities to adopt floodplain management ordinances. ,Flood Disaster Protection Act of 1973,12/31/1973,3/21/2014
"42 U.S.C. 3149, 5121, 5122, 5133, 5149, 5152, 5154, 5155, 5165, 5165b, 5170, 5170a, 5170b, 5170c, 5172, 5174, 5187, 5189a, 5189f, 5189g, 5191 and 5205",Disaster Recovery Reform Act of 2018,This act established the Building Resilient Infrastructure and Communities disaster mitigation program. It authorized FEMA to provide grants to states/local governments for housing programs after major disasters.,Disaster Recovery Reform Act (DRRA),6/11/2018,
"10 U.S.C. 2393 15 U.S.C. 636 16 U.S.C. 3501 25 U.S.C. 450b 41 U.S.C. 10a 42 U.S.C. 3149, 3796b, 4001, 4002, 5101, 5121, 5122, 5131, 5141, 5154, 5170c, 5172, 5174, 5176, 5178, 5184, 5187 and 5192",Disaster Mitigation Act of 2000,"This act amended the Stafford Act to focus on proactive disaster management measures. It mandated state, local, and tribal governments to implement hazard mitigation plans, and increased funding for planning. It also established several grant programs. ",Disaster Mitigation Act of 2000,10/30/2000,
,John Warner National Defense Authorization Act (NDAA),This act authorized funding for the DOD for military construction and strengthening for active-duty personnel. It includes amendments to National Defense Authorization Acts and established new policies for defense activities. It incorporates portions of the Military Lending Act as well. ,John Warner National Defense Authorization Act (NDAA),10/17/2006,
25 USC Ch. 46,Indian Self-Determination and Education Assistance Act,This act gave more autonomy to tribal governments and authorized federal agencies to enter contracts with recognized tribes. ,Indian Self Determination and Education Assistance Act,1/4/1975,
15 U.S.C. § 2201-2229,Fire Prevention and Control Act,"The US Forest Service, EPA, and local fire departments are main stakeholders in this act that focuses on wildfire prevention and response, including managing fire-prone areas.",Fire Prevention and Control Act,10/29/1974,12/27/2022
42 U.S.C. § 7701-7706,Earthquake Hazards Reduction Act,"This act aims to reduce the risk associated with earthquakes in the US, and mobilizes the USGS, FEMA, and NSA to establish mitigation efforts.",Earthquake Hazards Reduction Act,10/7/1977,12/27/2022
5 C.F.R. § 2601.203-.204;,Ethical Implications of Emergency Response Conf. Report,This report covers the framework for emergency responses with FEMA and HHS being main stakeholders. ,5 C.F.R. § 2601.203-.204;,6/1/2006,
46 U.S.C. § 55101 - 55121,Jones Act,"This act mandates that goods transported between US ports be carried on US owned ships operated by US personnel. It aims to protect American jobs and improve maritime security. It is triggered by events occurring during maritime transport, and involves the Federal Maritime Commission heavily.",Jones Act,6/5/1920,1/1/2006
23 U.S.C. § 127 and 23 C.F.R. § 658.17.,Vehicle Weight Limitations - Interstate System,"Establishes the federal regulations for vehicle weight limits on the Interstate Highway System. States are required to enforce these limits, but exceptions are allowed for certain vehicles like emergency vehicles, and states may grant special permits for overweight vehicles under specific circumstances.","23 USC 127,23 C.F.R. § 658.17.",,
42 U.S.C. 201 et seq.,Pandemic and All-Hazards Preparedness and Advancing Innovation Act (PAHPAIA),"This law broadly addresses the national security threat of disease outbreaks through an array of powers aimed toward enhancing pandemic preparedness and response during health emergencies. This law specifically includes provisions on the movement of military healthcare workers operating in trauma centers, and the development and distribution of medical countermeasures. ",Pandemic and All-Hazards Preparedness and Advancing Innovation Act (PAHPAIA),6/24/2019,6/24/2019
40 C.F.R. Part 300,NATIONAL OIL AND HAZARDOUS SUBSTANCES POL LUTION CONTINGENCY PLAN ,"The NCP is the federal government's blueprint for responding to both oil spills and hazardous substance releases.
",40 CFR Part 300,7/16/1982,6/13/2019
18 U.S.C. § 3056,Presidential Protection Act of 2000,"This act focuses on enhancing security measures for POTUS and other important federal officials. The main stakeholder is the Secret Service, which implements security protocols for ongoing protection of the President.","""Title 18, U.S.C. § 3056,""",12/19/2000,12/9/2005
10 U.S.C. § 162 and 164 §§ 101(c); 331-335; 12301-12304; and 12406.,U.S.C. Title 10-Armed Forces,This title establishes the roles and responsibilities of the US Armed Forces. Main actors include POTUS and DOD. This title supports national defense and disaster relief.,Title 10 of United States Code (U.S.C.),8/10/1956,1/7/2011
"art. I, § 8, cl. 15 and 16; art. II, § 1 and amend. II",US Constitution,"The U.S. Constitution serves as the supreme law of the United States, establishing the framework for the federal government and delineating the powers of its three branches: Legislative, Executive, and Judicial. ",US Constiution,6/21/1788,5/22/1992
"32 U.S.C 325, 502, 901-904",U.S.C. Title 32-National Guard,This title outlines the training and organization of the National Guard. It specifies state and federal implementations of the National Guard in response to emergencies and upholding laws.,USC Title 32,8/10/1956,
"28 U.S.C. §§ 1346(b), 2671-2680.",Federal Tort Claims Act,This act provides an avenue for individuals to gain compensation from the federal government in the event that they have been directly negatively impacted by a tort committed by a federal employee due to wrongful acts or negligence. Main stakeholders include HHS and DOJ.,Federal Tort Claims Act,8/2/1946,
(not sure),National Defense Authorization Act,This act sets the budget and related laws for DOD.,National Defense Authorization Act,10/22/2023,
18 U.S.C. §1385 ,Use of Army and Air Force as posse comitatus ,"The Posse Comitatus Act restricts the use of the army for civilian affairs and limits military action in law enforcement unless directed by Congress, POTUS, or the Constitution.",18 U.S.C. §1385 ,8/10/1956,1/3/2012
"44 C.F.R § 206, 208",Title 44 of CFR Emergency Management and Assistance,"44 CFR governs emergency management and assistance activities in the United States, ensuring uniform application of the Robert T. Stafford Disaster Relief and Emergency Assistance Act (Stafford Act). It outlines the procedures and requirements for federal disaster assistance, including the implementation of hazard mitigation planning, the operation of various FEMA grant programs, and the coordination of emergency response efforts between federal, state, local, tribal, and territorial governments",Title 44 of CFR,1/3/2017,3/22/2024
"42 U.S.C. § 5121-5207, 502, 300, 247, 552, 5771",USC Title 42-The Public Health And Welfare,"Title 42 of the United States Code covers a broad range of public health, social welfare, and civil rights issues, including provisions related to the Public Health Service, Social Security, housing assistance, environmental protection, and civil rights.",USC Title 42,7/1/1944,12/13/2016
"6 U.S.C § 313, 314, 111, 319, 741-754, 317, 321, 314, 453, 722, 312, 542, 774, 101-557",USC Title 6-Domestic Security,"Title 6 establishes the Department of Homeland Security, outlines its organization, functions, and delineates its responsibilities for domestic security. ",USC Title 6,7/30/1947,9/13/1982
42 U.S.C. § 5122,Stafford Act,"Defines ""emergency"" and ""major disaster"" for the purposes of the Stafford Act",Stafford Act,5/22/1974,3/18/2024
42 U.SC. § 5131(a),Stafford Act,"Authority to create disaster preparedness programs that utilize ""all appropriate agencies"" to engage in planning and R&D. ",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 1531(b)-(d),Stafford Act,Provides for technical assistance and grants to states to develop and maintain comprehensive preparation plans and programs for disaster preparedness; harm reduction; and recovery.,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 1532,Stafford Act,"Requires appropriate warnings about disasters to state and local officials through warning systems, technical assistance to states, and agreements with commercial communications systems.",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 1533,Stafford Act ,"Allows the President to establish ""pre disaster hazard mitigation"" programs for local and state governments",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5134,Stafford Act,Establishes interagency task force for the purpose of coordinating the implementation of pre disaster hazard mitigation programs administered by the USFG,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5141,Stafford Act,"Allows any federal agency charged with administering a Federal assistance program to modify or waive administrative conditions for assistance due to a ""major disaster""",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5143(a)-(b),Stafford Act,President will appoint a Federal coordinating officer when declaring major disaster or emergency,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5143 (c)-(d),Stafford Act,Allows President to either request that governor of affected state provide state coordinating officer or appoint single federal coordinating officer for multi-state area,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5144,Stafford Act,Requires President to form emergency support teams of federal personnel to be deployed in area affected by major disaster or emergency,Stafford Act,5/22/1974,3/18/2024
42. U.S.C. § 5149,Stafford Act,Any federal agency is authorized to accept and utilize state/local government facilities with their consent; they are also able to appoint temporary personnel ,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. §  5150,Stafford Act,"Enables the government to contract with private entities, with a preference for local organizations",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5151,Stafford Act,Requires nondiscrimination and equitable disaster resistance,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5152,Stafford Act ,"Enables President to utilize and coordinate, with their consent, with domestic recovery groups and disaster assistance organizations ",Stafford Act,5/22/1974,3/18/2024
