Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,Powers Invoked,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations and Statutes: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
42 U.S.C. § 1395dd (a),Examination and treatment for emergency medical conditional and women in labor (EMTALA),"This provision states that, any individual that seeks care in a federally funded hospital with an emergency department must be examined to determine if the individual seeking care has an emergency medical condition. This appropriate screening must take place regardless of an individual's insurance status. ",Examination and treatment for emergency medical conditional and women in labor (EMTALA),Department of Health and Human Services,Hospital Receives Federal Funding,N/A,"Provision of Medical Care,Health and Safety Regulations",Not applicable,Domestic,No,Legislation,Include,EMTALA,,4/7/1986,1/1/2022,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/TNq_-fhrNFFxwZswZYj7_A/jOiMtgxXX9WGqs3gKW9vEZm-PCTg0xRJu4gHhUXZYvjryEpdwHmrmTd5f5_g9p_UDqJRiIHHI61LhPUJc0AShMUsm5mzDNW7SA1Z5_v4XuGQgEn6pgo2Q3ptiji3AkaUotwyHnGQOyCPknSN5KS-MnCCARqrVND58FUMmGDda6x5OdU9zCRUlaz1SgXnA89otyGrYhPGct8-jmEbBDuMrR_kCAyOIdeyeig0ADz4kKg/gDwBs-MSH7MlY0H3Z121qSTneL-USX6zK57OJ8hNP4U),,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 1395dd (b)(1),Examination and treatment for emergency medical conditional and women in labor (EMTALA),"In the case that an individual arrives at a federally funded hospital with an emergency department and is determined to have an emergency medical condition, the hospital is obligated to provide stabilizing treatment at the hospital and/or transfer of the individual to another medical facility. Guidelines for the transfer of patients is governed under 42 U.S.C. § 1395dd (c). Stabilizing care and/or transfer must be provided by the hospital regardless of patient insurance status. ",Examination and treatment for emergency medical conditional and women in labor (EMTALA),Department of Health and Human Services,Hospital Receives Federal Funding,N/A,"Provision of Medical Care,Health and Safety Regulations",Not applicable,Domestic,No,Legislation,Include,EMTALA,,4/7/1986,1/1/2022,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/TNq_-fhrNFFxwZswZYj7_A/jOiMtgxXX9WGqs3gKW9vEZm-PCTg0xRJu4gHhUXZYvjryEpdwHmrmTd5f5_g9p_UDqJRiIHHI61LhPUJc0AShMUsm5mzDNW7SA1Z5_v4XuGQgEn6pgo2Q3ptiji3AkaUotwyHnGQOyCPknSN5KS-MnCCARqrVND58FUMmGDda6x5OdU9zCRUlaz1SgXnA89otyGrYhPGct8-jmEbBDuMrR_kCAyOIdeyeig0ADz4kKg/gDwBs-MSH7MlY0H3Z121qSTneL-USX6zK57OJ8hNP4U),,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 1395dd (c)(1),Examination and treatment for emergency medical conditional and women in labor (EMTALA),"Section C outlines the responsibilities of the hospital at which a patient with an emergency medical condition arrived before that patient may be transferred. According to section (c)(1), a patient must be stabilized before being transferred to another medical facility unless: (A(i) the individual seeking care requests in writing a transfer to a different facility after being informed of the hospital's responsibility to provide care; (ii) a physician certifies that the medical benefits derived from a transfer outweigh the risks to the patient or the fetus of a pregnant person; (iii) in the event a physician is not present, a qualified medical person certifies the transfer as described in (ii) after consultation with a physician. 
The transfer must also be deemed to be appropriate. ",Examination and treatment for emergency medical conditional and women in labor (EMTALA),Department of Health and Human Services,Hospital Receives Federal Funding,,"Provision of Medical Care,Health and Safety Regulations,Movement of Patients",Not applicable,Domestic,No,Legislation,Include,EMTALA,,4/7/1986,1/1/2022,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/TNq_-fhrNFFxwZswZYj7_A/jOiMtgxXX9WGqs3gKW9vEZm-PCTg0xRJu4gHhUXZYvjryEpdwHmrmTd5f5_g9p_UDqJRiIHHI61LhPUJc0AShMUsm5mzDNW7SA1Z5_v4XuGQgEn6pgo2Q3ptiji3AkaUotwyHnGQOyCPknSN5KS-MnCCARqrVND58FUMmGDda6x5OdU9zCRUlaz1SgXnA89otyGrYhPGct8-jmEbBDuMrR_kCAyOIdeyeig0ADz4kKg/gDwBs-MSH7MlY0H3Z121qSTneL-USX6zK57OJ8hNP4U),,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 1395dd (b)(3),Examination and treatment for emergency medical conditional and women in labor (EMTALA) ,"In the event that a hospital offers a patient with an emergency medical condition an option to transfer to another medical facility, but the individual refuses such a transfer, the hospital must take all reasonable steps to confirm written informed consent to refuse this option. ",Examination and treatment for emergency medical conditional and women in labor (EMTALA),Department of Health and Human Services,Hospital Receives Federal Funding,,"Movement of Patients,Provision of Medical Care,Health and Safety Regulations",Not applicable,Domestic,No,Legislation,Include,EMTALA,,4/7/1986,1/1/2022,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/TNq_-fhrNFFxwZswZYj7_A/jOiMtgxXX9WGqs3gKW9vEZm-PCTg0xRJu4gHhUXZYvjryEpdwHmrmTd5f5_g9p_UDqJRiIHHI61LhPUJc0AShMUsm5mzDNW7SA1Z5_v4XuGQgEn6pgo2Q3ptiji3AkaUotwyHnGQOyCPknSN5KS-MnCCARqrVND58FUMmGDda6x5OdU9zCRUlaz1SgXnA89otyGrYhPGct8-jmEbBDuMrR_kCAyOIdeyeig0ADz4kKg/gDwBs-MSH7MlY0H3Z121qSTneL-USX6zK57OJ8hNP4U),,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 1395dd (c)(2),Examination and treatment for emergency medical conditional and women in labor (EMTALA) ,"Section c outlines the responsibilities of the hospital at which a patient with an emergency medical condition arrived before that patient may be transferred. Paragraph 2 states that an appropriate transfer must meet the following criteria: 
A. The transferring hospital can provide the medical treatment to the individual in a manner that minimizes the risk to an individual, and potentially a fetus' life. 
B. The receiving facility has the capacity and personnel to treat the patient and has agreed to accept the case and provide appropriate care. 
C. The transferring hospital sends all medical records and documents related to the emergency medical condition and patient to the receiving hospital
D. All necessary and appropriate life support measures are utilized during patient transfer
E. Meets any other requirements required by the Secretary of Health and Human Services. ",Examination and treatment for emergency medical conditional and women in labor (EMTALA),Department of Health and Human Services,Hospital Receives Federal Funding,,"Movement of Patients,Provision of Medical Care,Health and Safety Regulations",Not applicable,Domestic,No,Legislation,Include,EMTALA,,4/7/1986,1/1/2022,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/TNq_-fhrNFFxwZswZYj7_A/jOiMtgxXX9WGqs3gKW9vEZm-PCTg0xRJu4gHhUXZYvjryEpdwHmrmTd5f5_g9p_UDqJRiIHHI61LhPUJc0AShMUsm5mzDNW7SA1Z5_v4XuGQgEn6pgo2Q3ptiji3AkaUotwyHnGQOyCPknSN5KS-MnCCARqrVND58FUMmGDda6x5OdU9zCRUlaz1SgXnA89otyGrYhPGct8-jmEbBDuMrR_kCAyOIdeyeig0ADz4kKg/gDwBs-MSH7MlY0H3Z121qSTneL-USX6zK57OJ8hNP4U),,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 1395dd (f),Examination and treatment for emergency medical conditional and women in labor (EMTALA) ,Facilities that have specialized capabilities or facilities may not refuse to accept an appropriate transfer of a patient that requires such specialized treatment so long as the hospital has the capacity to treat the individual. ,Examination and treatment for emergency medical conditional and women in labor (EMTALA),Department of Health and Human Services,Hospital Receives Federal Funding,,"Movement of Patients,Provision of Medical Care,Health and Safety Regulations",Not applicable,Domestic,No,Legislation,Include,EMTALA,,4/7/1986,1/1/2022,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/TNq_-fhrNFFxwZswZYj7_A/jOiMtgxXX9WGqs3gKW9vEZm-PCTg0xRJu4gHhUXZYvjryEpdwHmrmTd5f5_g9p_UDqJRiIHHI61LhPUJc0AShMUsm5mzDNW7SA1Z5_v4XuGQgEn6pgo2Q3ptiji3AkaUotwyHnGQOyCPknSN5KS-MnCCARqrVND58FUMmGDda6x5OdU9zCRUlaz1SgXnA89otyGrYhPGct8-jmEbBDuMrR_kCAyOIdeyeig0ADz4kKg/gDwBs-MSH7MlY0H3Z121qSTneL-USX6zK57OJ8hNP4U),,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 1395dd (h),Examination and treatment for emergency medical conditional and women in labor (EMTALA) ,A hospital may not delay appropriate medical screening for emergency medical conditions or treatment for such a condition in order to inquire about the individual's insurance status or intended payment method. ,Examination and treatment for emergency medical conditional and women in labor (EMTALA),Department of Health and Human Services,Hospital Receives Federal Funding,,"Health and Safety Regulations,Provision of Medical Care",Not applicable,Domestic,No,Legislation,Include,EMTALA,,4/7/1986,1/1/2022,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/TNq_-fhrNFFxwZswZYj7_A/jOiMtgxXX9WGqs3gKW9vEZm-PCTg0xRJu4gHhUXZYvjryEpdwHmrmTd5f5_g9p_UDqJRiIHHI61LhPUJc0AShMUsm5mzDNW7SA1Z5_v4XuGQgEn6pgo2Q3ptiji3AkaUotwyHnGQOyCPknSN5KS-MnCCARqrVND58FUMmGDda6x5OdU9zCRUlaz1SgXnA89otyGrYhPGct8-jmEbBDuMrR_kCAyOIdeyeig0ADz4kKg/gDwBs-MSH7MlY0H3Z121qSTneL-USX6zK57OJ8hNP4U),,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 C.F.R. §§ 300-370,Federal Acquisition Regulations System,Health & Human Services Supplement - Federal Acquisition Regulations System,HHS FAR,Department of Health and Human Services,No triggering event - Capacity Building,No emergency defined; general contracting rules,"Appropriations - Emergency Response,Provision of Medical Care,Movement of Medical Personnel",Not applicable,Domestic,No,Regulation,Include,eCFR,,11/18/2015,11/18/2015,hhsar final rule-2016.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/NKTTkM-BQRK5pm3SFnNGgg/4geXNhiSa-SpMf4W9MdHUTil4X13mFZTGdKsU_QgUjZ7sb7RkTJp9KCRDniLkBsKsblP7YVWt-_HajXoFw_GiPJaMVgdRuGyoJ94sIBBiIxKwxjdxtHt63OYHlkEg8QEP-6wZxFfMIW8lhhZ-K4Gcts4d8L-NmF0CWQ0pmM56n0/NdDXMxoF_5faln06Z9DbzBQft3yXMk3XY99hPxi-Yo4),,https://www.hhs.gov/sites/default/files/hhsar%20final%20rule-2016.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
6 U.S.C. § 313,Federal Emergency Management Agency,"The 6 U.S. Code § 313 officially establishes the Federal Emergency Management Agency (FEMA) under the Department of Homeland Security. FEMA was codified to coordinate the official federal response to disasters and emergencies. 6 U.S. Code § 313 was triggered by the need for efficient disaster response and management, and involves stakeholders such as the President, FEMA, state, and local governments. Actions taken can include mobilizing resources, providing disaster relief, and coordinating recovery efforts during and after emergencies.",Federal Emergency Management Agency,Federal Emergency Management Agency,No triggering event - Capacity Building,N/A,Mission Assignment/Response Coordination,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,FEMA DOLR,2,10/4/2006,7/13/2021,USCODE-2020-title6-chap1-subchapV-sec313 (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/I1jyY3OHXZnf-xqX6skTlQ/uLPvLK6EYs61DhwdL55Em9yCXO1Nx3mc9aIwLCBmweFjn4aP5dPK3aVdqZppkoXVi2Tx1zTNzz7VyYyJfO_eUuqsUwjvHSNHkXNVkusCODlZAhmg50jQgzMQ4eHDOKMqjeN6_fNjGLpu5rMQmN1iCQ/4YkcW-qz45lzHQwidCf8m3SoikDi8I-b4NmU0yfirKs),"Footnotes
The military is involved but unclear how Posse Commitatus relates",https://www.govinfo.gov/app/details/USCODE-2020-title6/USCODE-2020-title6-chap1-subchapV-sec313,Yes,Allows for FEMA appropriations,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
49 C.F.R. §§ 602.3–602.17,"Federal Transit Administration, Department of Transportation, Emergency Relief",Sets out waiver authority for DoT under Stafford Act,49 C.F.R. §§ 602.3–602.17,"Department of Transportation,Department of Transportation - Federal Transit Administration","Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Waiver,Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,10/7/2014,,CFR-2023-title49-vol7-part602.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/sowEY3V6MV6cwXF0s__brg/R8AwQa6fpMWmw52gjYhoON_6JQLq4R32vk4ZoBAyqmhdQt4e8TpTcqpN_GWNX--GiZxSrkYpU6nfpN6Z18ssxND2slzN8D4YnLRjnjGMWnkfzSWep3bPszg7vSj1EZKi2GD6PIEKhbsDtWbi521zIsssOb9FWbWGlWprSrc7RfyzCnKLBiWMRwZWH8rtctLT/4rIMxSMGVorxTu34_1J6b9VhBxdFtTJzS0ni4qoJYsM),,https://www.govinfo.gov/content/pkg/CFR-2023-title49-vol7/pdf/CFR-2023-title49-vol7-part602.pdf,Yes,§ 602 includes an emergency fund that authorities can apply for. ,Yes,"* § 602.3 - Applicability
* § 602.5 - Definitions
* § 602.7 - Policy 
* § 602.11 - Pre-award authority
* § 602.13 - Eligible activities
* § 602.15 - Grant requirements
* § 602.17 - Application procedures","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. § 18.2,FEMA - General,Emergency Acquisition Flexibilities,48 CFR 18.203,Broadly applies to any relevant federal agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Must meet threshold for emergency or major disaster declaration under the Stafford Act. ,"Appropriations - Emergency Response,Government Contracts",Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,7/5/2006,8/8/2024,48 CFR 18.203 (up to date as of 8-08-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/xrEtPlyhPOSjGRrhUG0Fhw/UyOuNhXvU4PMk33B8f3nRzQgYZzrubuWyEpIzL0LTnPSpV564-8b8O2ev7bNxxiUDBY47Kyaw7YT5ubsq6BGGxYFJiKP1lWr9wCeJgK7qHIKpRQxclJk9c9x7zgfaCku6M1X8kC3lqy6fHxcq8gVhtVwNi6kaslNWsEkMq06PEEQdkoDcixMO9s9yqHAVrV9/GY1d7mPULcpoJrGK9-QalX6a9D9rzOL5XB65JVWH54I),,https://www.ecfr.gov/current/title-48/chapter-1/subchapter-C/part-18/subpart-18.2/section-18.203,Yes,"Federal contracting requirements; specifies preference to local organizations, firms, and individuals",Yes,"* 18.203: Preference to local organizations, firms, and individuals ","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. §§ 350-354,FEMA - Preparedness,"Sets out requirements for radiological emergency preparedness, including for commercial nuclear power plants and other radiological emergencies",Title 44 of CFR,Federal Emergency Management Agency,No triggering event - Capacity Building,Part of emergency preparedness,State plan requirement,Not applicable,Both,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/GnyuCSQ_6MbchJwaiF-7sg/Ka4lTbTsAt5XZsywhUhiuLNrwVjISjqZYEmIxvox9JTOADXjWWrIrFdvZo2IIMI8KoOy5nOyVXwzOrNWevy4pFTeOvpYUnXfd1rDvGN1DoTm8XS4op23-lsiC48ZnhGBG1GGQoDhaNEK_Af_-LQRWo1OxUhqtKCEacEbxj4DwcdiEDYWAZmAqNj9P8ZoADtj/yO-Y0IfKjrGfY2rRtosjqAgnRw1aIpOnQhh6VIkzcXo),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,Yes,"Assistance to state and local governments in developing radiological emergency plans from HHS, EPA, Nuclear Regulatory Commission, DOE, FEMA, Dept. of Agriculture, and DOD ",No,"* § 350.2: Definitions
* § 350.4: Exclusions
* § 350.9: Exercises
* § 350.5: Criteria for review and approval of State and local radiological emergency plans and preparedness
* § 350.6: Assistance in development of State and local plans
* § 351: Radiological Emergency Planning and Preparedness, including Subpart C - Interagency Agreements
* § 352: Commercial Nuclear Power Plants: Emergency Preparedness Planning
* § Fee for Services to Support FEMA's Offsite Radiological Emergency Preparedness Program","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. § 360,FEMA - Preparedness,State Assistance Programs for Training and Education in Comprehensive Emergency Management ,Title 44 of CFR,Federal Emergency Management Agency,No triggering event - Capacity Building,Part of emergency preparedness,"Financial Assistance to states or Tribal Nations,Federal-State Coordination",Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/GnyuCSQ_6MbchJwaiF-7sg/Ka4lTbTsAt5XZsywhUhiuLNrwVjISjqZYEmIxvox9JTOADXjWWrIrFdvZo2IIMI8KoOy5nOyVXwzOrNWevy4pFTeOvpYUnXfd1rDvGN1DoTm8XS4op23-lsiC48ZnhGBG1GGQoDhaNEK_Af_-LQRWo1OxUhqtKCEacEbxj4DwcdiEDYWAZmAqNj9P8ZoADtj/yO-Y0IfKjrGfY2rRtosjqAgnRw1aIpOnQhh6VIkzcXo),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,Yes,Provides assistance to states to train and educate officials in comprehensive emergency management ,No,"* § 360.4: Administrative Procedures
* § 360.5: General provisions for State Cooperative Agreement ","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. § 333,FEMA - Preparedness,Emergency Management Priorities and Allocations System,Title 44 of CFR,Federal Emergency Management Agency,No triggering event - Capacity Building,"Part of emergency preparedness; however, written with the purpose of mitigating the spread of COVID-19 in the USA","Provision of Supplies,Provision of Medical Care,Financial Assistance to states or Tribal Nations,Grant Programs or Appropriations (not to states)",Not applicable,Both,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/GnyuCSQ_6MbchJwaiF-7sg/Ka4lTbTsAt5XZsywhUhiuLNrwVjISjqZYEmIxvox9JTOADXjWWrIrFdvZo2IIMI8KoOy5nOyVXwzOrNWevy4pFTeOvpYUnXfd1rDvGN1DoTm8XS4op23-lsiC48ZnhGBG1GGQoDhaNEK_Af_-LQRWo1OxUhqtKCEacEbxj4DwcdiEDYWAZmAqNj9P8ZoADtj/yO-Y0IfKjrGfY2rRtosjqAgnRw1aIpOnQhh6VIkzcXo),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,Yes,Indicates conditions on existing funding streams by establishing priority orders for them,No,"* § 333.1: Purpose of this part
* § 333.2: Program eligibility
* § 333.3: Priority ratings and rated orders
* § 333.10: Authority
* § 333.11: Priority ratings
* § 333.12: Elements of a rated order
* § 333.15: Extension of priority ratings
* § 333.16: Changes or cancellations of priority ratings and rated orders
* §§ 333.20-24: Special Priorities Assistance 
* §§ 333.30-36: Changes or cancellations of allocation orders 
* § 333.52: Directives
* 333.53: Letters and memoranda of understanding ","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. § 334,FEMA - Preparedness,Graduated Mobilization Response (for Federal Agencies),Title 44 of CFR,Broadly applies to any relevant federal agency,No triggering event - Capacity Building,Part of emergency preparedness for federal agencies. Each agency is required to keep a GMR plan in effect. ,Strategies and General Preparedness Efforts,Not applicable,Both,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/GnyuCSQ_6MbchJwaiF-7sg/Ka4lTbTsAt5XZsywhUhiuLNrwVjISjqZYEmIxvox9JTOADXjWWrIrFdvZo2IIMI8KoOy5nOyVXwzOrNWevy4pFTeOvpYUnXfd1rDvGN1DoTm8XS4op23-lsiC48ZnhGBG1GGQoDhaNEK_Af_-LQRWo1OxUhqtKCEacEbxj4DwcdiEDYWAZmAqNj9P8ZoADtj/yO-Y0IfKjrGfY2rRtosjqAgnRw1aIpOnQhh6VIkzcXo),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. § 332,FEMA - Preparedness,"Allows for voluntary agreements under Section 708 of the Defense Production Act of 1950, as amended",Title 44 of CFR,Federal Emergency Management Agency,No triggering event - Capacity Building,"Per the regulations, ""the President may consult with representatives of industry, business, financing, agriculture, labor, or other interests, and may approve the making of voluntary agreements to help provide for the defense of the United States by developing preparedness programs and expanding productive capacity and supply beyond levels needed to meet essential civilian demand.""","Provision of Supplies,Defense Production Act",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/GnyuCSQ_6MbchJwaiF-7sg/Ka4lTbTsAt5XZsywhUhiuLNrwVjISjqZYEmIxvox9JTOADXjWWrIrFdvZo2IIMI8KoOy5nOyVXwzOrNWevy4pFTeOvpYUnXfd1rDvGN1DoTm8XS4op23-lsiC48ZnhGBG1GGQoDhaNEK_Af_-LQRWo1OxUhqtKCEacEbxj4DwcdiEDYWAZmAqNj9P8ZoADtj/yO-Y0IfKjrGfY2rRtosjqAgnRw1aIpOnQhh6VIkzcXo),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,Yes,"Enables voluntary contracts for developing preparedness programs and expanding productive capacity and supply ""beyond levels needed to meet essential civilian demand."" ",No,"* § 332.1: General Provisions
","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. § 331,FEMA - Preparedness,Preservation of the Mobilization Base Through the Placement of Procurement and Facilities in Labor Surplus Areas,Title 44 of CFR,Federal Emergency Management Agency,No triggering event - Capacity Building,Part of emergency preparedness.,"""Troop, Uniformed Service, or National Guard Deployment""",Not applicable,Both,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/GnyuCSQ_6MbchJwaiF-7sg/Ka4lTbTsAt5XZsywhUhiuLNrwVjISjqZYEmIxvox9JTOADXjWWrIrFdvZo2IIMI8KoOy5nOyVXwzOrNWevy4pFTeOvpYUnXfd1rDvGN1DoTm8XS4op23-lsiC48ZnhGBG1GGQoDhaNEK_Af_-LQRWo1OxUhqtKCEacEbxj4DwcdiEDYWAZmAqNj9P8ZoADtj/yO-Y0IfKjrGfY2rRtosjqAgnRw1aIpOnQhh6VIkzcXo),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. § 302,FEMA - Preparedness,Civil Defense-State and Local Emergency Management Assistance Program (EMA),Title 44 of CFR,Federal Emergency Management Agency,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration","Does not require an emergency to receive financial contributions under the EMA program; however, EMA funds may be redirected in cases of an emergency or major disaster. ","Financial Assistance to states or Tribal Nations,Federal-State Coordination",Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/GnyuCSQ_6MbchJwaiF-7sg/Ka4lTbTsAt5XZsywhUhiuLNrwVjISjqZYEmIxvox9JTOADXjWWrIrFdvZo2IIMI8KoOy5nOyVXwzOrNWevy4pFTeOvpYUnXfd1rDvGN1DoTm8XS4op23-lsiC48ZnhGBG1GGQoDhaNEK_Af_-LQRWo1OxUhqtKCEacEbxj4DwcdiEDYWAZmAqNj9P8ZoADtj/yO-Y0IfKjrGfY2rRtosjqAgnRw1aIpOnQhh6VIkzcXo),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,Yes,"Funding: ""to increase civil defense operational capability at the State and local levels of government by providing Federal financial assistance so that personnel and other resources can be made available for essential planning and other administrative functions and activities required in order to accomplish this objective.""",Yes,"* § 302.7: Use of funds, materials, supplies, equipment, and personnel 
* § 302.5: Allocations and reallocations
* § 302.6: Fiscal year limitation
* § 302.7: Use of funds, materials, supplies, equipment, and personnel
* § 302.8: waiver of ""single"" state agency requirements ","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
